Por favor, ingrese un archivo de prueba seguido de ENTER: ../Tests/15_puzzle_100_instances_korf.txt
Instancia                                Resuelto        Tiempo         Nodos Expandidos   Distancia
---------------------------------------------------------------------------------------------------
7 15 8 2 13 6 3 12 11 0 4 10 9 5 1 14    Verdadero       0.057062 ms     267648                  53
14 13 15 7 11 12 9 5 6 0 2 1 4 8 10 3    Verdadero       2.62056 ms      11515574                57
13 5 4 10 9 12 8 14 2 3 7 1 0 15 11 6    Verdadero       0.694205 ms     3369484                 55
14 7 8 2 13 11 10 4 9 12 5 0 3 6 1 15    Verdadero       14.922 ms       61034490                59
5 12 10 7 15 11 14 0 8 2 1 13 3 4 9 6    Verdadero       1.08005 ms      4632268                 56
4 7 14 13 10 3 9 12 11 5 6 15 1 2 8 0    Verdadero       0.657975 ms     2876212                 56
14 7 1 9 12 3 6 15 8 11 2 5 10 0 4 13    Verdadero       0.204883 ms     1031378                 52
2 11 15 5 13 4 6 7 12 8 10 1 9 3 14 0    Verdadero       1.4576 ms       7033700                 52
12 11 15 3 8 0 4 2 6 13 9 5 14 1 10 7    Verdadero       0.597127 ms     2948758                 50
3 14 9 11 5 4 8 2 13 12 6 7 10 1 15 0    Verdadero       0.073465 ms     407746                  46
13 11 8 9 0 15 7 10 4 3 6 14 5 12 2 1    Verdadero       7.33365 ms      29574030                59
5 9 13 14 6 3 7 12 10 8 4 0 15 2 11 1    Verdadero       1.59077 ms      6959298                 57
14 1 9 6 4 8 12 5 7 2 3 0 10 11 13 15    Verdadero       0.009299 ms     50096                   45
3 6 5 2 10 0 15 14 1 4 13 12 9 8 11 7    Verdadero       0.019604 ms     104448                  46
7 6 8 1 11 5 14 10 3 4 9 13 15 2 0 12    Verdadero       8.76208 ms      35192980                59
13 11 4 12 1 8 9 15 6 5 14 2 7 3 10 0    Verdadero       12.247 ms       45572738                62
1 3 2 5 10 9 15 6 8 14 13 11 12 4 7 0    Verdadero       0.507445 ms     2735160                 42
15 14 0 4 11 1 6 13 7 5 8 9 3 2 10 12    Verdadero       24.1737 ms      91519578                66
6 0 14 12 1 15 9 10 11 4 7 2 8 3 5 13    Verdadero       0.291572 ms     1295736                 55
7 11 8 3 14 0 6 15 1 4 13 9 5 12 2 10    Verdadero       0.0299 ms       157770                  46
6 12 11 3 13 7 9 15 2 14 8 10 4 1 5 0    Verdadero       1.36935 ms      5923038                 52
12 8 14 6 11 4 7 0 5 1 10 15 3 13 9 2    Verdadero       3.9632 ms       15761220                54
14 3 9 1 15 8 4 5 11 7 10 13 0 2 12 6    Verdadero       11.0657 ms      45311238                59
10 9 3 11 0 13 2 14 5 6 4 7 8 15 1 12    Verdadero       0.470801 ms     2371966                 49
7 3 14 13 4 1 10 8 5 12 9 11 2 15 6 0    Verdadero       2.1422 ms       9343736                 54
11 4 2 7 1 0 10 15 6 9 14 8 3 13 5 12    Verdadero       0.530248 ms     2616768                 52
5 7 3 12 15 13 14 8 0 10 9 6 1 4 2 11    Verdadero       3.9848 ms       15923230                58
14 1 8 15 2 6 0 3 9 12 10 13 4 7 5 11    Verdadero       5.21303 ms      19020632                53
13 14 6 12 4 5 1 0 9 3 10 2 15 11 8 7    Verdadero       0.100643 ms     415112                  52
9 8 0 2 15 1 4 14 3 10 7 5 11 13 6 12    Verdadero       0.384541 ms     1419960                 54
12 15 2 6 1 14 4 8 5 3 7 0 10 13 9 11    Verdadero       0.026074 ms     120180                  47
12 8 15 13 1 0 5 4 6 3 2 11 9 7 14 10    Verdadero       0.00727 ms      33376                   50
14 10 9 4 13 6 5 8 2 12 7 0 1 3 11 15    Verdadero       8.46212 ms      28793780                59
14 3 5 15 11 6 13 9 0 10 2 12 4 1 7 8    Verdadero       9.97466 ms      31982054                60
6 11 7 8 13 2 5 4 1 10 3 9 14 0 12 15    Verdadero       0.938566 ms     3213432                 52
1 6 12 14 3 2 15 8 4 5 13 9 0 7 11 10    Verdadero       0.72703 ms      2401438                 55
12 6 0 4 7 3 15 1 13 9 8 11 2 14 5 10    Verdadero       0.240389 ms     884462                  52
8 1 7 12 11 0 10 5 9 15 6 13 14 2 3 4    Verdadero       11.2956 ms      33760238                58
9 0 4 10 1 14 15 3 12 6 5 7 11 13 8 2    Verdadero       0.570798 ms     2230460                 49
11 5 1 14 4 12 10 0 2 7 13 3 9 15 6 8    Verdadero       2.99955 ms      10490910                54
8 13 10 9 11 3 15 6 0 1 2 14 12 5 4 7    Verdadero       4.48275 ms      15067300                54
4 5 7 2 9 14 12 13 0 3 6 11 8 1 15 10    Verdadero       0.002339 ms     10006                   42
11 15 14 13 1 9 10 4 3 6 2 12 7 5 8 0    Verdadero       4.60715 ms      13805372                64
12 9 0 6 8 3 5 14 2 4 11 7 10 1 15 13    Verdadero       0.68838 ms      2737866                 50
3 14 9 7 12 15 0 4 1 8 5 6 11 10 2 13    Verdadero       0.079355 ms     349098                  51
8 4 6 1 14 12 2 15 13 10 9 5 3 7 0 11    Verdadero       0.250453 ms     1061614                 49
6 10 1 14 15 8 3 5 13 0 2 7 4 9 11 12    Verdadero       0.088631 ms     424424                  47
8 11 4 6 7 3 10 9 2 12 15 13 0 1 5 14    Verdadero       0.019814 ms     91446                   49
10 0 2 4 5 1 6 12 11 13 9 7 15 3 14 8    Verdadero       14.5925 ms      47095354                59
12 5 13 11 2 10 0 9 7 8 4 3 14 6 15 1    Verdadero       2.31136 ms      8458706                 53
10 2 8 4 15 0 1 14 11 13 3 6 9 7 5 12    Verdadero       1.03068 ms      3221070                 56
10 8 0 12 3 7 6 2 1 14 4 11 15 13 9 5    Verdadero       2.42017 ms      8990684                 56
14 9 12 13 15 4 8 10 0 2 1 7 3 11 5 6    Verdadero       33.5391 ms      103615776               64
12 11 0 8 10 2 13 15 5 4 7 3 6 9 14 1    Verdadero       5.37974 ms      18940048                56
13 8 14 3 9 1 0 7 15 5 4 10 12 2 6 11    Verdadero       0.025568 ms     125212                  41
3 15 2 5 11 6 4 7 12 9 1 0 13 14 10 8    Verdadero       14.0881 ms      50346500                55
5 11 6 9 4 13 12 0 8 2 15 10 1 7 3 14    Verdadero       0.055673 ms     246300                  50
5 0 15 8 4 6 1 14 10 11 3 9 7 12 2 13    Verdadero       0.162157 ms     589488                  51
15 14 6 7 10 1 0 11 12 8 4 9 2 5 13 3    Verdadero       15.8983 ms      55144354                57
11 14 13 1 2 3 12 4 15 7 9 5 10 6 8 0    Verdadero       155.373 ms      448458670               66
6 13 3 2 11 9 5 10 1 7 12 14 8 4 0 15    Verdadero       0.079952 ms     258104                  45
4 6 12 0 14 2 9 13 11 8 3 15 7 10 1 5    Verdadero       1.31033 ms      4971270                 57
8 10 9 11 14 1 7 15 13 4 0 12 6 2 5 3    Verdadero       13.8744 ms      47846168                56
5 2 14 0 7 8 6 3 11 12 13 15 4 10 9 1    Verdadero       2.04436 ms      7635986                 51
7 8 3 2 10 12 4 6 11 13 5 15 0 1 9 14    Verdadero       0.088984 ms     348976                  47
11 6 14 12 3 5 1 15 8 0 10 13 9 7 4 2    Verdadero       31.0599 ms      100855972               61
7 1 2 4 8 3 6 11 10 15 0 5 14 12 13 9    Verdadero       4.02908 ms      15975586                50
7 3 1 13 12 10 5 2 8 0 6 11 14 15 4 9    Verdadero       1.53969 ms      5973458                 51
6 0 5 15 1 14 4 9 2 13 8 10 11 12 7 3    Verdadero       1.83799 ms      7229246                 53
15 1 3 12 4 0 6 5 2 8 14 9 13 10 7 11    Verdadero       2.7882 ms       10333038                52
5 7 0 11 12 1 9 10 15 6 2 3 8 4 13 14    Verdadero       0.051286 ms     243248                  44
12 15 11 10 4 5 14 0 13 7 1 2 9 8 3 6    Verdadero       6.8449 ms       24101070                56
6 14 10 5 15 8 7 1 3 4 2 0 12 9 11 13    Verdadero       0.080658 ms     387670                  49
14 13 4 11 15 8 6 9 0 7 3 1 2 10 12 5    Verdadero       0.872474 ms     3264422                 56
