Por favor, ingrese un archivo de prueba seguido de ENTER: ../Tests/15_puzzle_100_instances_korf.txt
Instancia                                 Resuelto       Tiempo         Nodos Expandidos   Distancia
---------------------------------------------------------------------------------------------------
7 15 8 2 13 6 3 12 11 0 4 10 9 5 1 14    Verdadero       0.060648 ms     322202                  53
14 13 15 7 11 12 9 5 6 0 2 1 4 8 10 3    Verdadero       2.12417 ms      9824896                 57
13 5 4 10 9 12 8 14 2 3 7 1 0 15 11 6    Verdadero       1.29378 ms      6424656                 55
14 7 8 2 13 11 10 4 9 12 5 0 3 6 1 15    Verdadero       16.7273 ms      73063378                59
5 12 10 7 15 11 14 0 8 2 1 13 3 4 9 6    Verdadero       0.437168 ms     2208672                 56
4 7 14 13 10 3 9 12 11 5 6 15 1 2 8 0    Verdadero       0.975492 ms     4385112                 56
14 7 1 9 12 3 6 15 8 11 2 5 10 0 4 13    Verdadero       0.069649 ms     397204                  52
2 11 15 5 13 4 6 7 12 8 10 1 9 3 14 0    Verdadero       2.82457 ms      13408684                52
12 11 15 3 8 0 4 2 6 13 9 5 14 1 10 7    Verdadero       0.363994 ms     1871342                 50
3 14 9 11 5 4 8 2 13 12 6 7 10 1 15 0    Verdadero       0.057736 ms     362526                  46
13 11 8 9 0 15 7 10 4 3 6 14 5 12 2 1    Verdadero       3.93986 ms      15768350                59
5 9 13 14 6 3 7 12 10 8 4 0 15 2 11 1    Verdadero       1.69847 ms      7303408                 57
14 1 9 6 4 8 12 5 7 2 3 0 10 11 13 15    Verdadero       0.005843 ms     37260                   45
3 6 5 2 10 0 15 14 1 4 13 12 9 8 11 7    Verdadero       0.044044 ms     265680                  46
7 6 8 1 11 5 14 10 3 4 9 13 15 2 0 12    Verdadero       6.08978 ms      24880374                59
13 11 4 12 1 8 9 15 6 5 14 2 7 3 10 0    Verdadero       12.8679 ms      52446088                62
1 3 2 5 10 9 15 6 8 14 13 11 12 4 7 0    Verdadero       0.264689 ms     1611010                 42
15 14 0 4 11 1 6 13 7 5 8 9 3 2 10 12    Verdadero       21.6094 ms      86011406                66
6 0 14 12 1 15 9 10 11 4 7 2 8 3 5 13    Verdadero       0.141906 ms     772210                  55
7 11 8 3 14 0 6 15 1 4 13 9 5 12 2 10    Verdadero       0.01359 ms      86740                   46
6 12 11 3 13 7 9 15 2 14 8 10 4 1 5 0    Verdadero       0.629959 ms     3337902                 52
12 8 14 6 11 4 7 0 5 1 10 15 3 13 9 2    Verdadero       2.19574 ms      9851420                 54
14 3 9 1 15 8 4 5 11 7 10 13 0 2 12 6    Verdadero       2.14468 ms      9144150                 59
10 9 3 11 0 13 2 14 5 6 4 7 8 15 1 12    Verdadero       0.409358 ms     2201318                 49
7 3 14 13 4 1 10 8 5 12 9 11 2 15 6 0    Verdadero       1.25672 ms      6112976                 54
11 4 2 7 1 0 10 15 6 9 14 8 3 13 5 12    Verdadero       1.0167 ms       5033902                 52
5 7 3 12 15 13 14 8 0 10 9 6 1 4 2 11    Verdadero       3.61178 ms      14809766                58
14 1 8 15 2 6 0 3 9 12 10 13 4 7 5 11    Verdadero       0.900375 ms     4498528                 53
13 14 6 12 4 5 1 0 9 3 10 2 15 11 8 7    Verdadero       0.167364 ms     1011526                 52
9 8 0 2 15 1 4 14 3 10 7 5 11 13 6 12    Verdadero       0.57617 ms      3013778                 54
12 15 2 6 1 14 4 8 5 3 7 0 10 13 9 11    Verdadero       0.011886 ms     71652                   47
12 8 15 13 1 0 5 4 6 3 2 11 9 7 14 10    Verdadero       0.00659 ms      37476                   50
14 10 9 4 13 6 5 8 2 12 7 0 1 3 11 15    Verdadero       7.68158 ms      32390166                59
14 3 5 15 11 6 13 9 0 10 2 12 4 1 7 8    Verdadero       9.97789 ms      41505442                60
6 11 7 8 13 2 5 4 1 10 3 9 14 0 12 15    Verdadero       0.747792 ms     3671536                 52
1 6 12 14 3 2 15 8 4 5 13 9 0 7 11 10    Verdadero       0.235565 ms     1288022                 55
12 6 0 4 7 3 15 1 13 9 8 11 2 14 5 10    Verdadero       0.075192 ms     427662                  52
8 1 7 12 11 0 10 5 9 15 6 13 14 2 3 4    Verdadero       2.17651 ms      9791010                 58
9 0 4 10 1 14 15 3 12 6 5 7 11 13 8 2    Verdadero       0.303472 ms     1713956                 49
11 5 1 14 4 12 10 0 2 7 13 3 9 15 6 8    Verdadero       2.037 ms        9167204                 54
8 13 10 9 11 3 15 6 0 1 2 14 12 5 4 7    Verdadero       1.83115 ms      7892134                 54
4 5 7 2 9 14 12 13 0 3 6 11 8 1 15 10    Verdadero       0.005626 ms     34368                   42
11 15 14 13 1 9 10 4 3 6 2 12 7 5 8 0    Verdadero       1.87962 ms      7839708                 64
12 9 0 6 8 3 5 14 2 4 11 7 10 1 15 13    Verdadero       0.123852 ms     714944                  50
3 14 9 7 12 15 0 4 1 8 5 6 11 10 2 13    Verdadero       0.028527 ms     161744                  51
8 4 6 1 14 12 2 15 13 10 9 5 3 7 0 11    Verdadero       0.054201 ms     312620                  49
6 10 1 14 15 8 3 5 13 0 2 7 4 9 11 12    Verdadero       0.044019 ms     266300                  47
8 11 4 6 7 3 10 9 2 12 15 13 0 1 5 14    Verdadero       0.004732 ms     27402                   49
10 0 2 4 5 1 6 12 11 13 9 7 15 3 14 8    Verdadero       14.8128 ms      61918350                59
12 5 13 11 2 10 0 9 7 8 4 3 14 6 15 1    Verdadero       1.15644 ms      5805934                 53
10 2 8 4 15 0 1 14 11 13 3 6 9 7 5 12    Verdadero       1.33277 ms      6499032                 56
10 8 0 12 3 7 6 2 1 14 4 11 15 13 9 5    Verdadero       0.767761 ms     3691638                 56
14 9 12 13 15 4 8 10 0 2 1 7 3 11 5 6    Verdadero       12.0476 ms      50549692                64
12 11 0 8 10 2 13 15 5 4 7 3 6 9 14 1    Verdadero       1.81299 ms      8379796                 56
13 8 14 3 9 1 0 7 15 5 4 10 12 2 6 11    Verdadero       0.012377 ms     84386                   41
3 15 2 5 11 6 4 7 12 9 1 0 13 14 10 8    Verdadero       9.70967 ms      41170432                55
5 11 6 9 4 13 12 0 8 2 15 10 1 7 3 14    Verdadero       0.231922 ms     1081848                 50
5 0 15 8 4 6 1 14 10 11 3 9 7 12 2 13    Verdadero       0.15541 ms      699858                  51
15 14 6 7 10 1 0 11 12 8 4 9 2 5 13 3    Verdadero       9.1249 ms       34209646                57
11 14 13 1 2 3 12 4 15 7 9 5 10 6 8 0    Verdadero       55.3556 ms      170657486               66
6 13 3 2 11 9 5 10 1 7 12 14 8 4 0 15    Verdadero       0.038018 ms     209870                  45
4 6 12 0 14 2 9 13 11 8 3 15 7 10 1 5    Verdadero       0.841144 ms     3356714                 57
8 10 9 11 14 1 7 15 13 4 0 12 6 2 5 3    Verdadero       7.94777 ms      26827300                56
5 2 14 0 7 8 6 3 11 12 13 15 4 10 9 1    Verdadero       1.12842 ms      4655404                 51
7 8 3 2 10 12 4 6 11 13 5 15 0 1 9 14    Verdadero       0.065498 ms     339218                  47
11 6 14 12 3 5 1 15 8 0 10 13 9 7 4 2    Verdadero       21.5287 ms      72768628                61
7 1 2 4 8 3 6 11 10 15 0 5 14 12 13 9    Verdadero       2.00485 ms      8472690                 50
7 3 1 13 12 10 5 2 8 0 6 11 14 15 4 9    Verdadero       0.748221 ms     3089796                 51
6 0 5 15 1 14 4 9 2 13 8 10 11 12 7 3    Verdadero       1.54469 ms      5743322                 53
15 1 3 12 4 0 6 5 2 8 14 9 13 10 7 11    Verdadero       2.92418 ms      10873094                52
5 7 0 11 12 1 9 10 15 6 2 3 8 4 13 14    Verdadero       0.025324 ms     147746                  44
12 15 11 10 4 5 14 0 13 7 1 2 9 8 3 6    Verdadero       6.23392 ms      23883450                56
6 14 10 5 15 8 7 1 3 4 2 0 12 9 11 13    Verdadero       0.046679 ms     206224                  49
14 13 4 11 15 8 6 9 0 7 3 1 2 10 12 5    Verdadero       0.690417 ms     2590250                 56
