Por favor, ingrese un archivo de prueba seguido de ENTER: ../Tests/15_puzzle_100_instances_korf.txt
Instancia                                Resuelto         Tiempo         Nodos Expandidos   Distancia
-----------------------------------------------------------------------------
7 15 8 2 13 6 3 12 11 0 4 10 9 5 1 14    Verdadero       0.061366 ms     299352                  53
14 13 15 7 11 12 9 5 6 0 2 1 4 8 10 3    Verdadero       1.03217 ms      3720146                 57
13 5 4 10 9 12 8 14 2 3 7 1 0 15 11 6    Verdadero       1.41661 ms      5949216                 55
14 7 8 2 13 11 10 4 9 12 5 0 3 6 1 15    Verdadero       12.812 ms       48008394                59
5 12 10 7 15 11 14 0 8 2 1 13 3 4 9 6    Verdadero       0.564011 ms     2476252                 56
4 7 14 13 10 3 9 12 11 5 6 15 1 2 8 0    Verdadero       0.556866 ms     2023284                 56
14 7 1 9 12 3 6 15 8 11 2 5 10 0 4 13    Verdadero       0.063506 ms     325488                  52
2 11 15 5 13 4 6 7 12 8 10 1 9 3 14 0    Verdadero       1.29061 ms      5267166                 52
12 11 15 3 8 0 4 2 6 13 9 5 14 1 10 7    Verdadero       0.313983 ms     1369620                 50
3 14 9 11 5 4 8 2 13 12 6 7 10 1 15 0    Verdadero       0.066718 ms     383350                  46
13 11 8 9 0 15 7 10 4 3 6 14 5 12 2 1    Verdadero       6.73028 ms      23346944                59
5 9 13 14 6 3 7 12 10 8 4 0 15 2 11 1    Verdadero       1.38789 ms      5390420                 57
14 1 9 6 4 8 12 5 7 2 3 0 10 11 13 15    Verdadero       0.004899 ms     29508                   45
3 6 5 2 10 0 15 14 1 4 13 12 9 8 11 7    Verdadero       0.017872 ms     100162                  46
7 6 8 1 11 5 14 10 3 4 9 13 15 2 0 12    Verdadero       3.1966 ms       10763298                59
13 11 4 12 1 8 9 15 6 5 14 2 7 3 10 0    Verdadero       15.305 ms       53420718                62
1 3 2 5 10 9 15 6 8 14 13 11 12 4 7 0    Verdadero       0.288915 ms     1162998                 42
15 14 0 4 11 1 6 13 7 5 8 9 3 2 10 12    Verdadero       11.4408 ms      38248280                66
6 0 14 12 1 15 9 10 11 4 7 2 8 3 5 13    Verdadero       0.228046 ms     881974                  55
7 11 8 3 14 0 6 15 1 4 13 9 5 12 2 10    Verdadero       0.015317 ms     84550                   46
6 12 11 3 13 7 9 15 2 14 8 10 4 1 5 0    Verdadero       0.47764 ms      2036318                 52
12 8 14 6 11 4 7 0 5 1 10 15 3 13 9 2    Verdadero       2.14932 ms      8068354                 54
14 3 9 1 15 8 4 5 11 7 10 13 0 2 12 6    Verdadero       6.1172 ms       20049808                59
10 9 3 11 0 13 2 14 5 6 4 7 8 15 1 12    Verdadero       0.587139 ms     2507774                 49
7 3 14 13 4 1 10 8 5 12 9 11 2 15 6 0    Verdadero       1.43281 ms      5982382                 54
11 4 2 7 1 0 10 15 6 9 14 8 3 13 5 12    Verdadero       1.75841 ms      6776698                 52
5 7 3 12 15 13 14 8 0 10 9 6 1 4 2 11    Verdadero       3.16362 ms      11261934                58
14 1 8 15 2 6 0 3 9 12 10 13 4 7 5 11    Verdadero       1.82362 ms      6994616                 53
13 14 6 12 4 5 1 0 9 3 10 2 15 11 8 7    Verdadero       0.203702 ms     1014232                 52
9 8 0 2 15 1 4 14 3 10 7 5 11 13 6 12    Verdadero       0.445931 ms     2029918                 54
12 15 2 6 1 14 4 8 5 3 7 0 10 13 9 11    Verdadero       0.005014 ms     26588                   47
12 8 15 13 1 0 5 4 6 3 2 11 9 7 14 10    Verdadero       0.008161 ms     44130                   50
14 10 9 4 13 6 5 8 2 12 7 0 1 3 11 15    Verdadero       6.93628 ms      24426354                59
14 3 5 15 11 6 13 9 0 10 2 12 4 1 7 8    Verdadero       3.51593 ms      12750038                60
6 11 7 8 13 2 5 4 1 10 3 9 14 0 12 15    Verdadero       0.385582 ms     1479452                 52
1 6 12 14 3 2 15 8 4 5 13 9 0 7 11 10    Verdadero       0.349214 ms     1377784                 55
12 6 0 4 7 3 15 1 13 9 8 11 2 14 5 10    Verdadero       0.105815 ms     505480                  52
8 1 7 12 11 0 10 5 9 15 6 13 14 2 3 4    Verdadero       1.74923 ms      6794706                 58
9 0 4 10 1 14 15 3 12 6 5 7 11 13 8 2    Verdadero       0.585526 ms     2373032                 49
11 5 1 14 4 12 10 0 2 7 13 3 9 15 6 8    Verdadero       2.54435 ms      9484948                 54
8 13 10 9 11 3 15 6 0 1 2 14 12 5 4 7    Verdadero       2.95618 ms      10815096                54
4 5 7 2 9 14 12 13 0 3 6 11 8 1 15 10    Verdadero       0.005003 ms     14298                   42
11 15 14 13 1 9 10 4 3 6 2 12 7 5 8 0    Verdadero       2.8565 ms       10439908                64
12 9 0 6 8 3 5 14 2 4 11 7 10 1 15 13    Verdadero       0.102488 ms     535634                  50
3 14 9 7 12 15 0 4 1 8 5 6 11 10 2 13    Verdadero       0.043037 ms     216660                  51
8 4 6 1 14 12 2 15 13 10 9 5 3 7 0 11    Verdadero       0.023876 ms     124716                  49
6 10 1 14 15 8 3 5 13 0 2 7 4 9 11 12    Verdadero       0.016026 ms     81612                   47
8 11 4 6 7 3 10 9 2 12 15 13 0 1 5 14    Verdadero       0.003815 ms     19336                   49
10 0 2 4 5 1 6 12 11 13 9 7 15 3 14 8    Verdadero       14.2781 ms      51517300                59
12 5 13 11 2 10 0 9 7 8 4 3 14 6 15 1    Verdadero       0.827437 ms     3740824                 53
10 2 8 4 15 0 1 14 11 13 3 6 9 7 5 12    Verdadero       1.50609 ms      6081688                 56
10 8 0 12 3 7 6 2 1 14 4 11 15 13 9 5    Verdadero       0.470628 ms     1832496                 56
14 9 12 13 15 4 8 10 0 2 1 7 3 11 5 6    Verdadero       20.2435 ms      66924198                64
12 11 0 8 10 2 13 15 5 4 7 3 6 9 14 1    Verdadero       1.96353 ms      6797408                 56
13 8 14 3 9 1 0 7 15 5 4 10 12 2 6 11    Verdadero       0.019231 ms     120782                  41
3 15 2 5 11 6 4 7 12 9 1 0 13 14 10 8    Verdadero       6.82505 ms      25834408                55
5 11 6 9 4 13 12 0 8 2 15 10 1 7 3 14    Verdadero       0.198601 ms     943110                  50
5 0 15 8 4 6 1 14 10 11 3 9 7 12 2 13    Verdadero       0.057333 ms     306578                  51
15 14 6 7 10 1 0 11 12 8 4 9 2 5 13 3    Verdadero       6.63371 ms      25233236                57
11 14 13 1 2 3 12 4 15 7 9 5 10 6 8 0    Verdadero       20.2315 ms      64030756                66
6 13 3 2 11 9 5 10 1 7 12 14 8 4 0 15    Verdadero       0.020351 ms     116196                  45
4 6 12 0 14 2 9 13 11 8 3 15 7 10 1 5    Verdadero       0.412882 ms     1951080                 57
8 10 9 11 14 1 7 15 13 4 0 12 6 2 5 3    Verdadero       8.33451 ms      33169866                56
5 2 14 0 7 8 6 3 11 12 13 15 4 10 9 1    Verdadero       0.925749 ms     4846982                 51
7 8 3 2 10 12 4 6 11 13 5 15 0 1 9 14    Verdadero       0.02399 ms      134770                  47
11 6 14 12 3 5 1 15 8 0 10 13 9 7 4 2    Verdadero       17.2939 ms      63269556                61
7 1 2 4 8 3 6 11 10 15 0 5 14 12 13 9    Verdadero       0.605859 ms     2726554                 50
7 3 1 13 12 10 5 2 8 0 6 11 14 15 4 9    Verdadero       0.132428 ms     679860                  51
6 0 5 15 1 14 4 9 2 13 8 10 11 12 7 3    Verdadero       1.0482 ms       4762670                 53
15 1 3 12 4 0 6 5 2 8 14 9 13 10 7 11    Verdadero       1.0516 ms       4741600                 52
5 7 0 11 12 1 9 10 15 6 2 3 8 4 13 14    Verdadero       0.023902 ms     151620                  44
12 15 11 10 4 5 14 0 13 7 1 2 9 8 3 6    Verdadero       7.91255 ms      33488098                56
6 14 10 5 15 8 7 1 3 4 2 0 12 9 11 13    Verdadero       0.009394 ms     52362                   49
14 13 4 11 15 8 6 9 0 7 3 1 2 10 12 5    Verdadero       0.269122 ms     1316630                 56
14 4 0 10 6 5 1 3 9 2 13 15 12 7 8 11    Verdadero       0.740265 ms     3659466                 48
15 10 8 3 0 6 9 5 1 14 13 11 7 2 12 4    Verdadero       1.18 ms         5254420                 57
0 13 2 4 12 14 6 9 15 1 10 3 11 5 8 7    Verdadero       0.617662 ms     2998244                 54
3 14 13 6 4 15 8 9 5 12 10 0 2 7 1 11    Verdadero       0.098699 ms     553580                  53
0 1 9 7 11 13 5 3 14 12 4 2 8 6 10 15    Verdadero       0.00744 ms      45800                   42
11 0 15 8 13 12 3 5 10 1 4 6 14 9 7 2    Verdadero       2.75868 ms      13944048                57
13 0 9 12 11 6 3 5 15 8 1 10 4 14 2 7    Verdadero       0.044712 ms     270068                  53
14 10 2 1 13 9 8 11 7 3 6 12 15 5 4 0    Verdadero       68.2312 ms      259546350               62
12 3 9 1 4 5 10 2 6 11 15 0 14 7 13 8    Verdadero       0.065751 ms     307912                  49
15 8 10 7 0 12 14 1 5 9 6 3 13 11 4 2    Verdadero       2.50195 ms      8960122                 55
4 7 13 10 1 2 9 6 12 8 14 5 3 0 11 15    Verdadero       0.012746 ms     70482                   44
6 0 5 10 11 12 9 2 1 7 4 3 14 8 13 15    Verdadero       0.012167 ms     66754                   45
9 5 11 10 13 0 2 1 8 6 14 12 4 7 3 15    Verdadero       1.27543 ms      5223068                 52
15 2 12 11 14 13 9 5 1 3 8 7 0 10 6 4    Verdadero       147.094 ms      464398672               65
11 1 7 4 10 13 3 8 9 14 0 15 6 5 2 12    Verdadero       2.76568 ms      10367390                54
5 4 7 1 11 12 14 15 10 13 8 6 2 0 9 3    Verdadero       0.165383 ms     676876                  50
9 7 5 2 14 15 12 10 11 3 6 1 8 13 0 4    Verdadero       3.53524 ms      11958762                57
3 2 7 9 0 15 12 4 6 11 5 14 8 13 10 1    Verdadero       4.87468 ms      14140880                57
13 9 14 6 12 8 1 2 3 4 0 7 5 10 11 15    Verdadero       0.050032 ms     244118                  46
5 7 11 8 0 14 9 13 10 12 3 15 6 1 4 2    Verdadero       0.12501 ms      457292                  53
4 3 6 13 7 15 9 0 10 5 8 11 2 12 1 14    Verdadero       0.145516 ms     448030                  50
1 7 15 14 2 6 4 9 12 11 13 3 0 8 5 10    Verdadero       0.066784 ms     245314                  49
9 14 5 7 8 15 1 2 10 4 13 6 12 0 11 3    Verdadero       0.011946 ms     58354                   44
0 11 3 12 5 2 1 9 8 10 14 15 7 4 13 6    Verdadero       4.72031 ms      16454310                54
7 15 4 0 10 9 2 5 12 11 13 6 1 3 14 8    Verdadero       0.626291 ms     2398636                 57
11 4 0 8 6 10 5 13 12 7 14 3 1 2 9 15    Verdadero       0.739992 ms     2829086                 54
