Depth   #Nodes          Branching Factor
------------------------------------------------------------------

0       1               2.000000
1       2               2.000000
2       4               2.500000
3       10              2.400000
4       24              2.250000
5       54              2.000000
6       108             2.018518
7       218             2.165138
8       472             2.182203
9       1030            2.141747
10      2206            2.118767
11      4674            2.114677
12      9884            2.127074
13      21024           2.136891
14      44926           2.132507
15      95805           2.127739
16      203848          2.126751
17      433534          2.129238
18      923097          2.130866
19      1966996         2.131303
20      4192264         2.130082
21      8929865         2.130860
22      19028296        2.130777
23      40545065        2.131565
24      86424455        2.131490
