Please enter a test file followed by ENTER: Tests/15_puzzle_100_instances_korf.txt
Instance                                Solved   Time         Nodes Expanded   Distance
-----------------------------------------------------------------------------
7 15 8 2 13 6 3 12 11 0 4 10 9 5 1 14    True   0.074651        366522          53
14 13 15 7 11 12 9 5 6 0 2 1 4 8 10 3    True   5.08102         25479539        57
13 5 4 10 9 12 8 14 2 3 7 1 0 15 11 6    True   0.685029        3289003         55
14 7 8 2 13 11 10 4 9 12 5 0 3 6 1 15    True   18.0933         91293228        59
5 12 10 7 15 11 14 0 8 2 1 13 3 4 9 6    True   1.22601         6058447         56
4 7 14 13 10 3 9 12 11 5 6 15 1 2 8 0    True   0.787691        4180849         56
14 7 1 9 12 3 6 15 8 11 2 5 10 0 4 13    True   0.068733        339204          52
2 11 15 5 13 4 6 7 12 8 10 1 9 3 14 0    True   3.78377         19155632        52
12 11 15 3 8 0 4 2 6 13 9 5 14 1 10 7    True   0.890565        4307708         50
3 14 9 11 5 4 8 2 13 12 6 7 10 1 15 0    True   0.066501        344415          46
13 11 8 9 0 15 7 10 4 3 6 14 5 12 2 1    True   2.00189         10281157        59
5 9 13 14 6 3 7 12 10 8 4 0 15 2 11 1    True   1.41471         6881774         57
14 1 9 6 4 8 12 5 7 2 3 0 10 11 13 15    True   0.005817        28348           45
3 6 5 2 10 0 15 14 1 4 13 12 9 8 11 7    True   0.102002        539428          46
7 6 8 1 11 5 14 10 3 4 9 13 15 2 0 12    True   1.27871         5875366         59
13 11 4 12 1 8 9 15 6 5 14 2 7 3 10 0    True   8.80059         44027604        62
1 3 2 5 10 9 15 6 8 14 13 11 12 4 7 0    True   0.116953        626964          42
15 14 0 4 11 1 6 13 7 5 8 9 3 2 10 12    True   47.696          234780501       66
6 0 14 12 1 15 9 10 11 4 7 2 8 3 5 13    True   0.314499        1584058         55
7 11 8 3 14 0 6 15 1 4 13 9 5 12 2 10    True   0.035361        135797          46
6 12 11 3 13 7 9 15 2 14 8 10 4 1 5 0    True   0.539131        2541399         52
12 8 14 6 11 4 7 0 5 1 10 15 3 13 9 2    True   0.367542        1735352         54
14 3 9 1 15 8 4 5 11 7 10 13 0 2 12 6    True   2.49354         12843103        59
10 9 3 11 0 13 2 14 5 6 4 7 8 15 1 12    True   0.451566        2279320         49
7 3 14 13 4 1 10 8 5 12 9 11 2 15 6 0    True   0.94173         4663390         54
11 4 2 7 1 0 10 15 6 9 14 8 3 13 5 12    True   1.35468         6385034         52
5 7 3 12 15 13 14 8 0 10 9 6 1 4 2 11    True   2.79374         13765503        58
14 1 8 15 2 6 0 3 9 12 10 13 4 7 5 11    True   0.963596        5106904         53
13 14 6 12 4 5 1 0 9 3 10 2 15 11 8 7    True   0.224663        1198877         52
9 8 0 2 15 1 4 14 3 10 7 5 11 13 6 12    True   0.566158        2928238         54
12 15 2 6 1 14 4 8 5 3 7 0 10 13 9 11    True   0.015188        74188           47
12 8 15 13 1 0 5 4 6 3 2 11 9 7 14 10    True   0.022573        120603          50
14 10 9 4 13 6 5 8 2 12 7 0 1 3 11 15    True   11.9292         60573068        59
14 3 5 15 11 6 13 9 0 10 2 12 4 1 7 8    True   15.3314         74892546        60
6 11 7 8 13 2 5 4 1 10 3 9 14 0 12 15    True   1.52516         7705319         52
1 6 12 14 3 2 15 8 4 5 13 9 0 7 11 10    True   0.233397        1184302         55
12 6 0 4 7 3 15 1 13 9 8 11 2 14 5 10    True   0.165157        828664          52
8 1 7 12 11 0 10 5 9 15 6 13 14 2 3 4    True   2.56791         13180375        58
9 0 4 10 1 14 15 3 12 6 5 7 11 13 8 2    True   0.279061        1430832         49
11 5 1 14 4 12 10 0 2 7 13 3 9 15 6 8    True   3.15017         15738138        54
8 13 10 9 11 3 15 6 0 1 2 14 12 5 4 7    True   3.5555          16981030        54
4 5 7 2 9 14 12 13 0 3 6 11 8 1 15 10    True   0.009166        37429           42
11 15 14 13 1 9 10 4 3 6 2 12 7 5 8 0    True   1.47899         7711813         64
12 9 0 6 8 3 5 14 2 4 11 7 10 1 15 13    True   0.233171        1105099         50
3 14 9 7 12 15 0 4 1 8 5 6 11 10 2 13    True   0.099357        466523          51
8 4 6 1 14 12 2 15 13 10 9 5 3 7 0 11    True   0.047384        248433          49
6 10 1 14 15 8 3 5 13 0 2 7 4 9 11 12    True   0.129946        667831          47
8 11 4 6 7 3 10 9 2 12 15 13 0 1 5 14    True   0.012162        60447           49
10 0 2 4 5 1 6 12 11 13 9 7 15 3 14 8    True   30.4907         153662130       59
12 5 13 11 2 10 0 9 7 8 4 3 14 6 15 1    True   0.467493        2153008         53
10 2 8 4 15 0 1 14 11 13 3 6 9 7 5 12    True   1.57307         7655787         56
10 8 0 12 3 7 6 2 1 14 4 11 15 13 9 5    True   2.37418         12451837        56
14 9 12 13 15 4 8 10 0 2 1 7 3 11 5 6    True   9.16772         45971214        64
12 11 0 8 10 2 13 15 5 4 7 3 6 9 14 1    True   1.78273         8924017         56
13 8 14 3 9 1 0 7 15 5 4 10 12 2 6 11    True   0.00427         20576           41
3 15 2 5 11 6 4 7 12 9 1 0 13 14 10 8    True   8.00198         40338289        55
5 11 6 9 4 13 12 0 8 2 15 10 1 7 3 14    True   0.38904         2069018         50
5 0 15 8 4 6 1 14 10 11 3 9 7 12 2 13    True   0.16784         750086          51
15 14 6 7 10 1 0 11 12 8 4 9 2 5 13 3    True   6.68266         33668733        57
11 14 13 1 2 3 12 4 15 7 9 5 10 6 8 0    True   37.0434         188255751       66
6 13 3 2 11 9 5 10 1 7 12 14 8 4 0 15    True   0.052902        274994          45
4 6 12 0 14 2 9 13 11 8 3 15 7 10 1 5    True   2.41086         12256518        57
8 10 9 11 14 1 7 15 13 4 0 12 6 2 5 3    True   10.8442         52496772        56
5 2 14 0 7 8 6 3 11 12 13 15 4 10 9 1    True   1.80165         9055763         51
7 8 3 2 10 12 4 6 11 13 5 15 0 1 9 14    True   0.04566         228855          47
11 6 14 12 3 5 1 15 8 0 10 13 9 7 4 2    True   14.1305         72701354        61
7 1 2 4 8 3 6 11 10 15 0 5 14 12 13 9    True   1.51604         7639424         50
7 3 1 13 12 10 5 2 8 0 6 11 14 15 4 9    True   0.595668        2928665         51
6 0 5 15 1 14 4 9 2 13 8 10 11 12 7 3    True   3.44068         17200060        53
15 1 3 12 4 0 6 5 2 8 14 9 13 10 7 11    True   2.31767         11895709        52
5 7 0 11 12 1 9 10 15 6 2 3 8 4 13 14    True   0.018812        104940          44
12 15 11 10 4 5 14 0 13 7 1 2 9 8 3 6    True   8.4142          44175646        56
6 14 10 5 15 8 7 1 3 4 2 0 12 9 11 13    True   0.044317        212077          49
14 13 4 11 15 8 6 9 0 7 3 1 2 10 12 5    True   0.406464        2010102         56
14 4 0 10 6 5 1 3 9 2 13 15 12 7 8 11    True   0.528824        2598747         48
15 10 8 3 0 6 9 5 1 14 13 11 7 2 12 4    True   10.227          50259492        57
0 13 2 4 12 14 6 9 15 1 10 3 11 5 8 7    True   1.22879         6121992         54
3 14 13 6 4 15 8 9 5 12 10 0 2 7 1 11    True   0.256348        1241510         53
0 1 9 7 11 13 5 3 14 12 4 2 8 6 10 15    True   0.012708        59976           42
11 0 15 8 13 12 3 5 10 1 4 6 14 9 7 2    True   1.68601         8930690         57
