Please enter a test file followed by ENTER: ../Tests/15_puzzle_100_instances_korf.txt
Instance                              Solved     Time     Nodes Expanded   Distance
-----------------------------------------------------------------------------------
7 15 8 2 13 6 3 12 11 0 4 10 9 5 1 14    True   0.253045        4450114         53
14 13 15 7 11 12 9 5 6 0 2 1 4 8 10 3    True   16.7461         291266412       57
13 5 4 10 9 12 8 14 2 3 7 1 0 15 11 6    True   0.632173        10903360        55
14 7 8 2 13 11 10 4 9 12 5 0 3 6 1 15    True   14.7686         254165970       59
5 12 10 7 15 11 14 0 8 2 1 13 3 4 9 6    True   5.91801         99437473        56
4 7 14 13 10 3 9 12 11 5 6 15 1 2 8 0    True   0.48234         8579287         56
14 7 1 9 12 3 6 15 8 11 2 5 10 0 4 13    True   0.295458        5035423         52
2 11 15 5 13 4 6 7 12 8 10 1 9 3 14 0    True   4.00493         67800082        52
12 11 15 3 8 0 4 2 6 13 9 5 14 1 10 7    True   2.21845         36358245        50
3 14 9 11 5 4 8 2 13 12 6 7 10 1 15 0    True   0.10802         1657761         46
13 11 8 9 0 15 7 10 4 3 6 14 5 12 2 1    True   4.76601         80242024        59
5 9 13 14 6 3 7 12 10 8 4 0 15 2 11 1    True   0.822769        14551691        57
14 1 9 6 4 8 12 5 7 2 3 0 10 11 13 15    True   0.00651         114390          45
3 6 5 2 10 0 15 14 1 4 13 12 9 8 11 7    True   0.499556        9043863         46
7 6 8 1 11 5 14 10 3 4 9 13 15 2 0 12    True   18.251          311218796       59
13 11 4 12 1 8 9 15 6 5 14 2 7 3 10 0    True   6.8722          122029518       62
1 3 2 5 10 9 15 6 8 14 13 11 12 4 7 0    True   0.214585        3697063         42
15 14 0 4 11 1 6 13 7 5 8 9 3 2 10 12    True   67.9394         1204055762      66
6 0 14 12 1 15 9 10 11 4 7 2 8 3 5 13    True   0.657595        11335160        55
7 11 8 3 14 0 6 15 1 4 13 9 5 12 2 10    True   0.085487        1434718         46
6 12 11 3 13 7 9 15 2 14 8 10 4 1 5 0    True   0.825137        13415873        52
12 8 14 6 11 4 7 0 5 1 10 15 3 13 9 2    True   1.60694         26636423        54
14 3 9 1 15 8 4 5 11 7 10 13 0 2 12 6    True   9.53199         156123252       59
10 9 3 11 0 13 2 14 5 6 4 7 8 15 1 12    True   0.414031        7257835         49
7 3 14 13 4 1 10 8 5 12 9 11 2 15 6 0    True   1.19884         21065471        54
11 4 2 7 1 0 10 15 6 9 14 8 3 13 5 12    True   3.83875         65675193        52
5 7 3 12 15 13 14 8 0 10 9 6 1 4 2 11    True   7.26203         132589472       58
14 1 8 15 2 6 0 3 9 12 10 13 4 7 5 11    True   5.44398         93868966        53
13 14 6 12 4 5 1 0 9 3 10 2 15 11 8 7    True   0.335747        5988053         52
9 8 0 2 15 1 4 14 3 10 7 5 11 13 6 12    True   1.86037         33679648        54
12 15 2 6 1 14 4 8 5 3 7 0 10 13 9 11    True   0.05883         1031472         47
12 8 15 13 1 0 5 4 6 3 2 11 9 7 14 10    True   0.127983        2279132         50
14 10 9 4 13 6 5 8 2 12 7 0 1 3 11 15    True   9.33756         176093539       59
14 3 5 15 11 6 13 9 0 10 2 12 4 1 7 8    True   10.2249         187036564       60
6 11 7 8 13 2 5 4 1 10 3 9 14 0 12 15    True   1.29288         23575612        52
1 6 12 14 3 2 15 8 4 5 13 9 0 7 11 10    True   1.42487         25969267        55
12 6 0 4 7 3 15 1 13 9 8 11 2 14 5 10    True   1.86586         33475173        52
8 1 7 12 11 0 10 5 9 15 6 13 14 2 3 4    True   13.9711         255527444       58
9 0 4 10 1 14 15 3 12 6 5 7 11 13 8 2    True   0.34905         6183704         49
11 5 1 14 4 12 10 0 2 7 13 3 9 15 6 8    True   4.47492         78132081        54
8 13 10 9 11 3 15 6 0 1 2 14 12 5 4 7    True   3.86276         68476686        54
4 5 7 2 9 14 12 13 0 3 6 11 8 1 15 10    True   0.010779        191389          42
11 15 14 13 1 9 10 4 3 6 2 12 7 5 8 0    True   1.7469          33445756        64
12 9 0 6 8 3 5 14 2 4 11 7 10 1 15 13    True   2.47235         42989566        50
3 14 9 7 12 15 0 4 1 8 5 6 11 10 2 13    True   0.404482        7339986         51
8 4 6 1 14 12 2 15 13 10 9 5 3 7 0 11    True   0.283799        5097172         49
6 10 1 14 15 8 3 5 13 0 2 7 4 9 11 12    True   0.117078        2016965         47
8 11 4 6 7 3 10 9 2 12 15 13 0 1 5 14    True   0.045917        827174          49
10 0 2 4 5 1 6 12 11 13 9 7 15 3 14 8    True   86.5478         1559247212      59
12 5 13 11 2 10 0 9 7 8 4 3 14 6 15 1    True   0.38183         6699602         53
10 2 8 4 15 0 1 14 11 13 3 6 9 7 5 12    True   1.06748         19397418        56
10 8 0 12 3 7 6 2 1 14 4 11 15 13 9 5    True   19.7616         353607479       56
14 9 12 13 15 4 8 10 0 2 1 7 3 11 5 6    True   13.7885         250773907       64
12 11 0 8 10 2 13 15 5 4 7 3 6 9 14 1    True   3.04033         54347395        56
13 8 14 3 9 1 0 7 15 5 4 10 12 2 6 11    True   0.011185        198043          41
3 15 2 5 11 6 4 7 12 9 1 0 13 14 10 8    True   30.8662         552287257       55
5 11 6 9 4 13 12 0 8 2 15 10 1 7 3 14    True   0.219058        4042939         50
5 0 15 8 4 6 1 14 10 11 3 9 7 12 2 13    True   0.170785        3007345         51
15 14 6 7 10 1 0 11 12 8 4 9 2 5 13 3    True   30.7676         551423810       57
11 14 13 1 2 3 12 4 15 7 9 5 10 6 8 0    True   86.3633         1584041399      66
6 13 3 2 11 9 5 10 1 7 12 14 8 4 0 15    True   0.16859         2990643         45
4 6 12 0 14 2 9 13 11 8 3 15 7 10 1 5    True   1.94005         35153061        57
8 10 9 11 14 1 7 15 13 4 0 12 6 2 5 3    True   25.2338         424599991       56
5 2 14 0 7 8 6 3 11 12 13 15 4 10 9 1    True   4.18817         71604029        51
7 8 3 2 10 12 4 6 11 13 5 15 0 1 9 14    True   0.242484        4263032         47
11 6 14 12 3 5 1 15 8 0 10 13 9 7 4 2    True   35.9709         651073435       61
7 1 2 4 8 3 6 11 10 15 0 5 14 12 13 9    True   3.69347         64089441        50
7 3 1 13 12 10 5 2 8 0 6 11 14 15 4 9    True   2.21636         38056016        51
6 0 5 15 1 14 4 9 2 13 8 10 11 12 7 3    True   4.77456         86270126        53
15 1 3 12 4 0 6 5 2 8 14 9 13 10 7 11    True   4.36711         75201946        52
5 7 0 11 12 1 9 10 15 6 2 3 8 4 13 14    True   0.139993        2455671         44
12 15 11 10 4 5 14 0 13 7 1 2 9 8 3 6    True   54.9291         974488349       56
6 14 10 5 15 8 7 1 3 4 2 0 12 9 11 13    True   0.036835        692452          49
14 13 4 11 15 8 6 9 0 7 3 1 2 10 12 5    True   0.227039        4223199         56
14 4 0 10 6 5 1 3 9 2 13 15 12 7 8 11    True   1.36547         23510842        48
15 10 8 3 0 6 9 5 1 14 13 11 7 2 12 4    True   12.0667         217473226       57
0 13 2 4 12 14 6 9 15 1 10 3 11 5 8 7    True   1.23982         20749800        54
3 14 13 6 4 15 8 9 5 12 10 0 2 7 1 11    True   0.330646        5829375         53
0 1 9 7 11 13 5 3 14 12 4 2 8 6 10 15    True   0.023393        403326          42
11 0 15 8 13 12 3 5 10 1 4 6 14 9 7 2    True   1.35972         23645788        57
13 0 9 12 11 6 3 5 15 8 1 10 4 14 2 7    True   0.537187        9683238         53
14 10 2 1 13 9 8 11 7 3 6 12 15 5 4 0    True   495.092         8539581313      62
12 3 9 1 4 5 10 2 6 11 15 0 14 7 13 8    True   1.2641          20279571        49
15 8 10 7 0 12 14 1 5 9 6 3 13 11 4 2    True   7.43391         125654733       55
4 7 13 10 1 2 9 6 12 8 14 5 3 0 11 15    True   0.054772        823113          44
6 0 5 10 11 12 9 2 1 7 4 3 14 8 13 15    True   0.067824        1134505         45
9 5 11 10 13 0 2 1 8 6 14 12 4 7 3 15    True   2.90276         48821059        52
15 2 12 11 14 13 9 5 1 3 8 7 0 10 6 4    True   196.152         3404677810      65
11 1 7 4 10 13 3 8 9 14 0 15 6 5 2 12    True   1.62851         27634345        54
5 4 7 1 11 12 14 15 10 13 8 6 2 0 9 3    True   0.312836        5468681         50
9 7 5 2 14 15 12 10 11 3 6 1 8 13 0 4    True   15.3418         271037608       57
3 2 7 9 0 15 12 4 6 11 5 14 8 13 10 1    True   28.7143         484869817       57
13 9 14 6 12 8 1 2 3 4 0 7 5 10 11 15    True   0.216227        3836379         46
5 7 11 8 0 14 9 13 10 12 3 15 6 1 4 2    True   0.004823        93547           53
4 3 6 13 7 15 9 0 10 5 8 11 2 12 1 14    True   0.563562        9775577         50
1 7 15 14 2 6 4 9 12 11 13 3 0 8 5 10    True   0.369537        6103114         49
9 14 5 7 8 15 1 2 10 4 13 6 12 0 11 3    True   0.129305        2170230         44
0 11 3 12 5 2 1 9 8 10 14 15 7 4 13 6    True   16.0658         260926069       54
7 15 4 0 10 9 2 5 12 11 13 6 1 3 14 8    True   4.40382         79391014        57
11 4 0 8 6 10 5 13 12 7 14 3 1 2 9 15    True   1.92565         34283524        54
