Please enter a test file followed by ENTER: Tests/15_puzzle_100_instances_korf.txt
Instance                                Solved   Time         Nodes Expanded   Distance
-----------------------------------------------------------------------------
7 15 8 2 13 6 3 12 11 0 4 10 9 5 1 14    True   0.267621        300265          53
14 13 15 7 11 12 9 5 6 0 2 1 4 8 10 3    True   27.0721         28918703        57
13 5 4 10 9 12 8 14 2 3 7 1 0 15 11 6    True   1.26533         1559820         55
14 7 8 2 13 11 10 4 9 12 5 0 3 6 1 15    True   59.9279         67112914        59
5 12 10 7 15 11 14 0 8 2 1 13 3 4 9 6    True   10.6986         12386685        56
4 7 14 13 10 3 9 12 11 5 6 15 1 2 8 0    True   2.3126          2850798         56
14 7 1 9 12 3 6 15 8 11 2 5 10 0 4 13    True   0.581499        713998          52
2 11 15 5 13 4 6 7 12 8 10 1 9 3 14 0    True   8.49562         9971295         52
12 11 15 3 8 0 4 2 6 13 9 5 14 1 10 7    True   6.47556         7159497         50
3 14 9 11 5 4 8 2 13 12 6 7 10 1 15 0    True   0.286344        465725          46
13 11 8 9 0 15 7 10 4 3 6 14 5 12 2 1    True   13.2476         21320623        59
5 9 13 14 6 3 7 12 10 8 4 0 15 2 11 1    True   5.29819         6201595         57
14 1 9 6 4 8 12 5 7 2 3 0 10 11 13 15    True   0.022428        45118           45
3 6 5 2 10 0 15 14 1 4 13 12 9 8 11 7    True   0.11422         225511          46
7 6 8 1 11 5 14 10 3 4 9 13 15 2 0 12    True   37.9393         59688238        59
13 11 4 12 1 8 9 15 6 5 14 2 7 3 10 0    True   33.1356         37941797        62
1 3 2 5 10 9 15 6 8 14 13 11 12 4 7 0    True   0.601154        960457          42
15 14 0 4 11 1 6 13 7 5 8 9 3 2 10 12    True   183.92          242214983       66
6 0 14 12 1 15 9 10 11 4 7 2 8 3 5 13    True   2.17501         2758325         55
7 11 8 3 14 0 6 15 1 4 13 9 5 12 2 10    True   0.213128        296027          46
6 12 11 3 13 7 9 15 2 14 8 10 4 1 5 0    True   3.28365         4443898         52
12 8 14 6 11 4 7 0 5 1 10 15 3 13 9 2    True   1.89613         2749781         54
14 3 9 1 15 8 4 5 11 7 10 13 0 2 12 6    True   69.2336         98380858        59
10 9 3 11 0 13 2 14 5 6 4 7 8 15 1 12    True   1.71087         2710706         49
7 3 14 13 4 1 10 8 5 12 9 11 2 15 6 0    True   5.98305         7874581         54
11 4 2 7 1 0 10 15 6 9 14 8 3 13 5 12    True   2.3675          3515287         52
5 7 3 12 15 13 14 8 0 10 9 6 1 4 2 11    True   11.2734         15210951        58
14 1 8 15 2 6 0 3 9 12 10 13 4 7 5 11    True   16.4284         21843751        53
13 14 6 12 4 5 1 0 9 3 10 2 15 11 8 7    True   0.333449        453453          52
9 8 0 2 15 1 4 14 3 10 7 5 11 13 6 12    True   0.798706        1226375         54
12 15 2 6 1 14 4 8 5 3 7 0 10 13 9 11    True   0.076517        143693          47
12 8 15 13 1 0 5 4 6 3 2 11 9 7 14 10    True   0.085561        109823          50
14 10 9 4 13 6 5 8 2 12 7 0 1 3 11 15    True   33.6794         52949789        59
14 3 5 15 11 6 13 9 0 10 2 12 4 1 7 8    True   35.6476         52078074        60
6 11 7 8 13 2 5 4 1 10 3 9 14 0 12 15    True   4.5007          6807290         52
1 6 12 14 3 2 15 8 4 5 13 9 0 7 11 10    True   1.41269         2117036         55
12 6 0 4 7 3 15 1 13 9 8 11 2 14 5 10    True   1.17638         1917031         52
8 1 7 12 11 0 10 5 9 15 6 13 14 2 3 4    True   42.2481         62276602        58
9 0 4 10 1 14 15 3 12 6 5 7 11 13 8 2    True   1.18471         2053539         49
11 5 1 14 4 12 10 0 2 7 13 3 9 15 6 8    True   14.6687         22173492        54
8 13 10 9 11 3 15 6 0 1 2 14 12 5 4 7    True   24.5236         37179197        54
4 5 7 2 9 14 12 13 0 3 6 11 8 1 15 10    True   0.005408        11081           42
11 15 14 13 1 9 10 4 3 6 2 12 7 5 8 0    True   10.793          14219643        64
12 9 0 6 8 3 5 14 2 4 11 7 10 1 15 13    True   3.17576         4697368         50
3 14 9 7 12 15 0 4 1 8 5 6 11 10 2 13    True   0.574258        1086270         51
8 4 6 1 14 12 2 15 13 10 9 5 3 7 0 11    True   0.395752        716124          49
6 10 1 14 15 8 3 5 13 0 2 7 4 9 11 12    True   0.238885        395106          47
8 11 4 6 7 3 10 9 2 12 15 13 0 1 5 14    True   0.079572        154342          49
10 0 2 4 5 1 6 12 11 13 9 7 15 3 14 8    True   63.5829         92368834        59
12 5 13 11 2 10 0 9 7 8 4 3 14 6 15 1    True   2.07984         2746066         53
10 2 8 4 15 0 1 14 11 13 3 6 9 7 5 12    True   2.54924         3767108         56
10 8 0 12 3 7 6 2 1 14 4 11 15 13 9 5    True   21.4682         32138493        56
14 9 12 13 15 4 8 10 0 2 1 7 3 11 5 6    True   65.4768         99763255        64
12 11 0 8 10 2 13 15 5 4 7 3 6 9 14 1    True   15.3215         22034153        56
13 8 14 3 9 1 0 7 15 5 4 10 12 2 6 11    True   0.016253        32580           41
3 15 2 5 11 6 4 7 12 9 1 0 13 14 10 8    True   27.4361         48883890        55
5 11 6 9 4 13 12 0 8 2 15 10 1 7 3 14    True   0.237657        444337          50
5 0 15 8 4 6 1 14 10 11 3 9 7 12 2 13    True   0.36062         651041          51
15 14 6 7 10 1 0 11 12 8 4 9 2 5 13 3    True   34.7699         56612802        57
11 14 13 1 2 3 12 4 15 7 9 5 10 6 8 0    True   381.176         589268601       66
6 13 3 2 11 9 5 10 1 7 12 14 8 4 0 15    True   0.213693        295631          45
4 6 12 0 14 2 9 13 11 8 3 15 7 10 1 5    True   12.9323         18752990        57
8 10 9 11 14 1 7 15 13 4 0 12 6 2 5 3    True   71.0268         108675950       56
5 2 14 0 7 8 6 3 11 12 13 15 4 10 9 1    True   8.60034         14015766        51
7 8 3 2 10 12 4 6 11 13 5 15 0 1 9 14    True   0.141374        233729          47
