Please enter a test file followed by ENTER: Tests/15_puzzle_100_instances_korf.txt
Instance                                Solved   Time         Nodes Expanded   Distance
-----------------------------------------------------------------------------
7 15 8 2 13 6 3 12 11 0 4 10 9 5 1 14    True   0.058466        313826          53
14 13 15 7 11 12 9 5 6 0 2 1 4 8 10 3    True   2.12747         8943062         57
13 5 4 10 9 12 8 14 2 3 7 1 0 15 11 6    True   0.695744        2961490         55
14 7 8 2 13 11 10 4 9 12 5 0 3 6 1 15    True   11.8123         54500611        59
5 12 10 7 15 11 14 0 8 2 1 13 3 4 9 6    True   1.44283         6541081         56
4 7 14 13 10 3 9 12 11 5 6 15 1 2 8 0    True   0.465052        1953281         56
14 7 1 9 12 3 6 15 8 11 2 5 10 0 4 13    True   0.060027        297755          52
2 11 15 5 13 4 6 7 12 8 10 1 9 3 14 0    True   1.43767         6473816         52
12 11 15 3 8 0 4 2 6 13 9 5 14 1 10 7    True   0.602407        3133857         50
3 14 9 11 5 4 8 2 13 12 6 7 10 1 15 0    True   0.083064        395548          46
13 11 8 9 0 15 7 10 4 3 6 14 5 12 2 1    True   3.81741         16828503        59
5 9 13 14 6 3 7 12 10 8 4 0 15 2 11 1    True   1.05647         4840158         57
14 1 9 6 4 8 12 5 7 2 3 0 10 11 13 15    True   0.005363        24696           45
3 6 5 2 10 0 15 14 1 4 13 12 9 8 11 7    True   0.043388        215466          46
7 6 8 1 11 5 14 10 3 4 9 13 15 2 0 12    True   0.528895        2225705         59
13 11 4 12 1 8 9 15 6 5 14 2 7 3 10 0    True   8.86416         41787888        62
1 3 2 5 10 9 15 6 8 14 13 11 12 4 7 0    True   0.0887          438252          42
15 14 0 4 11 1 6 13 7 5 8 9 3 2 10 12    True   26.8907         108736545       66
6 0 14 12 1 15 9 10 11 4 7 2 8 3 5 13    True   0.422889        1836715         55
7 11 8 3 14 0 6 15 1 4 13 9 5 12 2 10    True   0.028054        143716          46
6 12 11 3 13 7 9 15 2 14 8 10 4 1 5 0    True   0.568754        2782010         52
12 8 14 6 11 4 7 0 5 1 10 15 3 13 9 2    True   0.3124          1352651         54
14 3 9 1 15 8 4 5 11 7 10 13 0 2 12 6    True   1.6331          6804361         59
10 9 3 11 0 13 2 14 5 6 4 7 8 15 1 12    True   0.656033        2815382         49
7 3 14 13 4 1 10 8 5 12 9 11 2 15 6 0    True   1.01027         4775960         54
11 4 2 7 1 0 10 15 6 9 14 8 3 13 5 12    True   1.99112         8970220         52
5 7 3 12 15 13 14 8 0 10 9 6 1 4 2 11    True   2.04107         9759148         58
14 1 8 15 2 6 0 3 9 12 10 13 4 7 5 11    True   1.6553          7529825         53
13 14 6 12 4 5 1 0 9 3 10 2 15 11 8 7    True   0.270142        1285837         52
9 8 0 2 15 1 4 14 3 10 7 5 11 13 6 12    True   0.444095        1941045         54
12 15 2 6 1 14 4 8 5 3 7 0 10 13 9 11    True   0.007212        30256           47
12 8 15 13 1 0 5 4 6 3 2 11 9 7 14 10    True   0.031394        132920          50
14 10 9 4 13 6 5 8 2 12 7 0 1 3 11 15    True   9.8388          43993365        59
14 3 5 15 11 6 13 9 0 10 2 12 4 1 7 8    True   5.16913         22827674        60
6 11 7 8 13 2 5 4 1 10 3 9 14 0 12 15    True   0.714763        3079112         52
1 6 12 14 3 2 15 8 4 5 13 9 0 7 11 10    True   0.225011        1080498         55
12 6 0 4 7 3 15 1 13 9 8 11 2 14 5 10    True   0.267233        1073236         52
8 1 7 12 11 0 10 5 9 15 6 13 14 2 3 4    True   2.04357         9567596         58
9 0 4 10 1 14 15 3 12 6 5 7 11 13 8 2    True   0.494433        2255309         49
11 5 1 14 4 12 10 0 2 7 13 3 9 15 6 8    True   3.78627         16972503        54
8 13 10 9 11 3 15 6 0 1 2 14 12 5 4 7    True   5.87675         24767534        54
4 5 7 2 9 14 12 13 0 3 6 11 8 1 15 10    True   0.004306        19449           42
11 15 14 13 1 9 10 4 3 6 2 12 7 5 8 0    True   2.44536         10719597        64
12 9 0 6 8 3 5 14 2 4 11 7 10 1 15 13    True   0.157778        758776          50
3 14 9 7 12 15 0 4 1 8 5 6 11 10 2 13    True   0.12956         591484          51
8 4 6 1 14 12 2 15 13 10 9 5 3 7 0 11    True   0.026195        119677          49
6 10 1 14 15 8 3 5 13 0 2 7 4 9 11 12    True   0.046707        211616          47
8 11 4 6 7 3 10 9 2 12 15 13 0 1 5 14    True   0.00855         40201           49
10 0 2 4 5 1 6 12 11 13 9 7 15 3 14 8    True   25.8841         122752358       59
12 5 13 11 2 10 0 9 7 8 4 3 14 6 15 1    True   0.302603        1426527         53
10 2 8 4 15 0 1 14 11 13 3 6 9 7 5 12    True   1.57749         7188761         56
10 8 0 12 3 7 6 2 1 14 4 11 15 13 9 5    True   1.26785         6182982         56
14 9 12 13 15 4 8 10 0 2 1 7 3 11 5 6    True   14.4561         64515158        64
12 11 0 8 10 2 13 15 5 4 7 3 6 9 14 1    True   1.3895          6341162         56
13 8 14 3 9 1 0 7 15 5 4 10 12 2 6 11    True   0.008884        32492           41
3 15 2 5 11 6 4 7 12 9 1 0 13 14 10 8    True   5.4533          25550096        55
5 11 6 9 4 13 12 0 8 2 15 10 1 7 3 14    True   0.372179        1797482         50
5 0 15 8 4 6 1 14 10 11 3 9 7 12 2 13    True   0.0616          281045          51
15 14 6 7 10 1 0 11 12 8 4 9 2 5 13 3    True   5.11951         23267386        57
11 14 13 1 2 3 12 4 15 7 9 5 10 6 8 0    True   15.7469         74756418        66
6 13 3 2 11 9 5 10 1 7 12 14 8 4 0 15    True   0.028349        134682          45
4 6 12 0 14 2 9 13 11 8 3 15 7 10 1 5    True   1.46315         6699289         57
8 10 9 11 14 1 7 15 13 4 0 12 6 2 5 3    True   13.2426         68281817        56
5 2 14 0 7 8 6 3 11 12 13 15 4 10 9 1    True   0.763867        3972510         51
7 8 3 2 10 12 4 6 11 13 5 15 0 1 9 14    True   0.015721        88115           47
11 6 14 12 3 5 1 15 8 0 10 13 9 7 4 2    True   11.2507         60864404        61
7 1 2 4 8 3 6 11 10 15 0 5 14 12 13 9    True   0.399259        2193420         50
7 3 1 13 12 10 5 2 8 0 6 11 14 15 4 9    True   0.094279        529783          51
6 0 5 15 1 14 4 9 2 13 8 10 11 12 7 3    True   1.4536          8171610         53
15 1 3 12 4 0 6 5 2 8 14 9 13 10 7 11    True   0.827075        4586120         52
5 7 0 11 12 1 9 10 15 6 2 3 8 4 13 14    True   0.021072        120395          44
12 15 11 10 4 5 14 0 13 7 1 2 9 8 3 6    True   12.9128         72722101        56
6 14 10 5 15 8 7 1 3 4 2 0 12 9 11 13    True   0.00924         46673           49
14 13 4 11 15 8 6 9 0 7 3 1 2 10 12 5    True   0.217058        1006305         56
14 4 0 10 6 5 1 3 9 2 13 15 12 7 8 11    True   0.753756        3891741         48
15 10 8 3 0 6 9 5 1 14 13 11 7 2 12 4    True   3.60573         18608548        57
0 13 2 4 12 14 6 9 15 1 10 3 11 5 8 7    True   1.08121         5476490         54
3 14 13 6 4 15 8 9 5 12 10 0 2 7 1 11    True   0.219094        1170301         53
0 1 9 7 11 13 5 3 14 12 4 2 8 6 10 15    True   0.013543        72194           42
11 0 15 8 13 12 3 5 10 1 4 6 14 9 7 2    True   1.24638         7134979         57
13 0 9 12 11 6 3 5 15 8 1 10 4 14 2 7    True   0.115919        608074          53
14 10 2 1 13 9 8 11 7 3 6 12 15 5 4 0    True   235.71          1284502874      62
12 3 9 1 4 5 10 2 6 11 15 0 14 7 13 8    True   0.081457        458945          49
15 8 10 7 0 12 14 1 5 9 6 3 13 11 4 2    True   2.62007         14200212        55
4 7 13 10 1 2 9 6 12 8 14 5 3 0 11 15    True   0.019299        87679           44
6 0 5 10 11 12 9 2 1 7 4 3 14 8 13 15    True   0.010685        54393           45
9 5 11 10 13 0 2 1 8 6 14 12 4 7 3 15    True   1.38402         7213079         52
15 2 12 11 14 13 9 5 1 3 8 7 0 10 6 4    True   125.703         618253875       65
11 1 7 4 10 13 3 8 9 14 0 15 6 5 2 12    True   3.21593         14173330        54
5 4 7 1 11 12 14 15 10 13 8 6 2 0 9 3    True   0.159857        749010          50
9 7 5 2 14 15 12 10 11 3 6 1 8 13 0 4    True   4.62569         21111065        57
3 2 7 9 0 15 12 4 6 11 5 14 8 13 10 1    True   2.36731         10572073        57
13 9 14 6 12 8 1 2 3 4 0 7 5 10 11 15    True   0.098883        465435          46
5 7 11 8 0 14 9 13 10 12 3 15 6 1 4 2    True   0.011421        39853           53
4 3 6 13 7 15 9 0 10 5 8 11 2 12 1 14    True   0.148995        605356          50
1 7 15 14 2 6 4 9 12 11 13 3 0 8 5 10    True   0.038172        150874          49
9 14 5 7 8 15 1 2 10 4 13 6 12 0 11 3    True   0.035291        163613          44
0 11 3 12 5 2 1 9 8 10 14 15 7 4 13 6    True   16.1015         71796130        54
7 15 4 0 10 9 2 5 12 11 13 6 1 3 14 8    True   1.32113         5279043         57
11 4 0 8 6 10 5 13 12 7 14 3 1 2 9 15    True   0.93486         3774422         54
