Depth   #Nodes          Branching Factor
------------------------------------------------------------------

0       1               2.000000
1       2               3.000000
2       6               3.000000
3       18              3.333333
4       60              3.233333
5       194             3.463917
6       672             3.312500
7       2226            3.504043
8       7800            3.336667
9       26026           3.515254
10      91488           3.344198
11      305954          3.518176
12      1076400         3.346765
13      3602458         3.518837
14      12676464        3.347763
15      42437794        3.518922
