Depth   #Nodes          Branching Factor
------------------------------------------------------------------

0       1               2.000000
1       2               2.000000
2       4               2.500000
3       10              2.600000
4       26              2.307692
5       60              2.533333
6       152             2.276316
7       346             2.404624
8       832             2.193510
9       1825            2.453699
10      4478            2.260607
11      10123           2.452830
12      24830           2.237898
13      55567           2.447802
14      136017          2.239264
15      304578          2.447662
16      745504          2.237174
17      1667822         2.448923
18      4084368         2.239001
19      9144903         2.449201
20      22397705        2.239082
