Por favor, ingrese un archivo de prueba seguido de ENTER: Tests/top-spin-12-4-medium.txt
Instancia                        Resuelto       Tiempo       Nodos Expandidos   Distancia
-----------------------------------------------------------------------------------------
2 6 5 0 4 7 8 3 9 10 1 11        Verdadero       5.4e-05 ms      18              8
1 7 5 6 10 0 4 3 9 8 2 11        Verdadero       8.8e-05 ms      36              9
3 9 10 5 0 6 8 1 2 4 7 11        Verdadero       0.000137 ms     66              9
9 10 1 4 8 3 2 6 7 5 0 11        Verdadero       0.001326 ms     1316            10
2 6 3 1 9 7 4 10 8 0 5 11        Verdadero       3.5e-05 ms      26              9
7 5 4 0 6 8 3 2 10 1 9 11        Verdadero       0.00029 ms      242             10
3 10 2 5 8 6 4 1 0 9 7 11        Verdadero       0.000258 ms     122             10
8 7 5 2 3 1 10 0 9 6 4 11        Verdadero       8.9e-05 ms      58              9
8 5 1 7 2 0 10 6 9 3 4 11        Verdadero       0.000417 ms     322             10
9 5 8 10 2 7 3 4 1 0 6 11        Verdadero       7.4e-05 ms      52              9
6 3 8 7 0 5 10 9 2 1 4 11        Verdadero       3.3e-05 ms      18              8
1 7 5 6 3 4 0 10 9 8 2 11        Verdadero       7.2e-05 ms      52              9
6 10 9 3 0 2 1 8 5 7 4 11        Verdadero       3.4e-05 ms      20              9
3 2 4 5 0 1 7 6 8 10 9 11        Verdadero       0.0027 ms       5330            10
1 7 10 5 2 9 8 6 3 0 4 11        Verdadero       0.000135 ms     120             10
5 1 8 3 10 4 6 7 9 0 2 11        Verdadero       5.8e-05 ms      48              9
7 1 10 9 8 2 0 4 3 6 5 11        Verdadero       2.9e-05 ms      24              8
9 8 5 6 2 1 0 7 10 3 4 11        Verdadero       3.9e-05 ms      32              8
7 10 0 1 4 2 3 9 6 8 5 11        Verdadero       0.000833 ms     892             10
8 9 1 10 5 7 0 3 4 6 2 11        Verdadero       1.6e-05 ms      14              6
1 7 4 8 9 0 10 2 3 6 5 11        Verdadero       6.6e-05 ms      58              9
6 5 7 1 3 4 0 10 9 8 2 11        Verdadero       4.4e-05 ms      38              9
0 3 1 2 4 7 5 8 9 10 6 11        Verdadero       3e-05 ms        24              9
2 10 9 7 3 1 8 6 4 5 0 11        Verdadero       4.7e-05 ms      40              9
1 8 5 6 3 2 9 4 7 10 0 11        Verdadero       0.000196 ms     180             10
1 0 5 10 7 4 9 3 2 8 6 11        Verdadero       0.000249 ms     262             10
5 2 8 9 4 6 7 3 0 1 10 11        Verdadero       2.9e-05 ms      22              8
3 2 8 5 1 10 0 7 6 4 9 11        Verdadero       0.000372 ms     360             10
3 7 9 1 6 10 5 4 0 2 8 11        Verdadero       0.000158 ms     148             10
7 6 8 5 3 10 1 9 4 0 2 11        Verdadero       7.9e-05 ms      64              9
5 9 1 2 6 0 3 10 8 4 7 11        Verdadero       0.000179 ms     194             10
6 5 7 1 3 9 10 0 4 8 2 11        Verdadero       4.4e-05 ms      36              9
2 1 6 4 0 3 8 5 9 10 7 11        Verdadero       7.2e-05 ms      60              9
7 0 5 9 10 1 8 6 3 2 4 11        Verdadero       0.000723 ms     1382            10
4 7 1 5 10 8 2 6 0 3 9 11        Verdadero       3.2e-05 ms      24              9
10 4 0 9 1 8 2 3 6 7 5 11        Verdadero       0.000196 ms     188             10
9 8 10 3 2 0 4 6 1 7 5 11        Verdadero       0.000676 ms     772             10
6 8 4 10 1 2 0 7 3 5 9 11        Verdadero       0.001067 ms     1290            10
6 9 0 8 2 3 1 10 7 4 5 11        Verdadero       0.00016 ms      182             9
8 1 7 2 4 6 5 10 3 0 9 11        Verdadero       5.1e-05 ms      42              9
0 4 7 10 5 6 9 2 1 8 3 11        Verdadero       0.000117 ms     130             9
1 7 5 6 3 9 10 0 4 8 2 11        Verdadero       0.000112 ms     104             10
7 6 8 0 3 4 5 9 10 2 1 11        Verdadero       2.2e-05 ms      18              7
8 0 9 7 2 5 1 4 3 10 6 11        Verdadero       0.000127 ms     118             10
9 8 3 7 2 10 0 6 5 4 1 11        Verdadero       0.000824 ms     1004            10
9 6 1 4 0 10 2 8 5 3 7 11        Verdadero       8.4e-05 ms      72              10
10 0 4 2 6 5 3 9 8 7 1 11        Verdadero       0.001251 ms     1536            10
2 10 0 5 8 4 6 9 1 7 3 11        Verdadero       0.000567 ms     568             11
7 6 9 1 8 0 3 4 10 2 5 11        Verdadero       5.4e-05 ms      46              9
4 3 10 2 6 0 7 8 1 9 5 11        Verdadero       2.7e-05 ms      22              9
2 5 9 1 0 7 10 4 6 8 3 11        Verdadero       5.8e-05 ms      50              9
2 8 7 5 6 3 9 10 0 4 1 11        Verdadero       3.5e-05 ms      30              9
8 7 5 4 10 9 6 2 3 0 1 11        Verdadero       2.2e-05 ms      18              8
8 10 5 9 0 2 7 4 3 1 6 11        Verdadero       0.000333 ms     384             10
7 6 9 3 10 0 5 8 1 2 4 11        Verdadero       4.9e-05 ms      30              9
2 7 1 5 0 3 10 9 4 6 8 11        Verdadero       0.000116 ms     94              9
9 4 2 8 1 3 7 0 6 5 10 11        Verdadero       5.5e-05 ms      40              9
