Please enter a test file followed by ENTER: Tests/top-spin-12-4-medium.txt
Instance                         Solved   Time     Nodes Expanded   Distance
-----------------------------------------------------------------------------
2 6 5 0 4 7 8 3 9 10 1 11        True   1.9e-05         9               8
1 7 5 6 10 0 4 3 9 8 2 11        True   3.5e-05         15              9
3 9 10 5 0 6 8 1 2 4 7 11        True   0.000126        50              9
9 10 1 4 8 3 2 6 7 5 0 11        True   0.000642        331             10
2 6 3 1 9 7 4 10 8 0 5 11        True   3.1e-05         19              9
7 5 4 0 6 8 3 2 10 1 9 11        True   0.00018         101             10
3 10 2 5 8 6 4 1 0 9 7 11        True   7.1e-05         44              10
8 7 5 2 3 1 10 0 9 6 4 11        True   2.6e-05         17              9
8 5 1 7 2 0 10 6 9 3 4 11        True   6.4e-05         38              10
9 5 8 10 2 7 3 4 1 0 6 11        True   5.1e-05         33              9
6 3 8 7 0 5 10 9 2 1 4 11        True   6e-06           8               8
1 7 5 6 3 4 0 10 9 8 2 11        True   7.3e-05         42              9
6 10 9 3 0 2 1 8 5 7 4 11        True   1.5e-05         12              9
3 2 4 5 0 1 7 6 8 10 9 11        True   0.003505        2547            10
1 7 10 5 2 9 8 6 3 0 4 11        True   0.000121        72              10
5 1 8 3 10 4 6 7 9 0 2 11        True   3.9e-05         25              9
7 1 10 9 8 2 0 4 3 6 5 11        True   1.2e-05         11              8
9 8 5 6 2 1 0 7 10 3 4 11        True   2e-05           14              8
7 10 0 1 4 2 3 9 6 8 5 11        True   0.000436        274             10
8 9 1 10 5 7 0 3 4 6 2 11        True   6e-06           6               6
1 7 4 8 9 0 10 2 3 6 5 11        True   2.6e-05         19              9
6 5 7 1 3 4 0 10 9 8 2 11        True   8.5e-05         58              9
0 3 1 2 4 7 5 8 9 10 6 11        True   1.7e-05         15              9
2 10 9 7 3 1 8 6 4 5 0 11        True   2.3e-05         20              9
1 8 5 6 3 2 9 4 7 10 0 11        True   0.000133        80              10
1 0 5 10 7 4 9 3 2 8 6 11        True   0.000151        96              10
5 2 8 9 4 6 7 3 0 1 10 11        True   2.7e-05         20              8
3 2 8 5 1 10 0 7 6 4 9 11        True   0.000336        192             10
3 7 9 1 6 10 5 4 0 2 8 11        True   8.9e-05         60              10
7 6 8 5 3 10 1 9 4 0 2 11        True   2e-05           15              9
5 9 1 2 6 0 3 10 8 4 7 11        True   0.000143        92              10
6 5 7 1 3 9 10 0 4 8 2 11        True   1.7e-05         16              9
2 1 6 4 0 3 8 5 9 10 7 11        True   7.1e-05         38              9
7 0 5 9 10 1 8 6 3 2 4 11        True   0.000529        407             10
4 7 1 5 10 8 2 6 0 3 9 11        True   1.5e-05         10              9
10 4 0 9 1 8 2 3 6 7 5 11        True   0.000273        164             10
9 8 10 3 2 0 4 6 1 7 5 11        True   0.000312        195             10
6 8 4 10 1 2 0 7 3 5 9 11        True   0.000286        192             10
6 9 0 8 2 3 1 10 7 4 5 11        True   0.000137        90              9
8 1 7 2 4 6 5 10 3 0 9 11        True   2.5e-05         13              9
0 4 7 10 5 6 9 2 1 8 3 11        True   2.2e-05         15              9
1 7 5 6 3 9 10 0 4 8 2 11        True   5.8e-05         39              10
