Por favor, ingrese un archivo de prueba seguido de ENTER: Tests/top-spin-14-4-easy.txt
Instancia                        Resuelto         Tiempo     Nodos Expandidos   Distancia
----------------------------------------------------------------------------------------
0 4 5 6 7 8 12 11 10 9 1 2 3 13  Verdadero       4.7e-05 ms      14              3
0 10 2 3 12 9 5 4 11 1 6 7 8 13  Verdadero       4.3e-05 ms      12              5
12 2 10 0 3 4 5 6 7 11 1 8 9 13  Verdadero       3.8e-05 ms      12              5
4 0 3 2 5 1 6 7 8 12 11 10 9 13  Verdadero       0.000153 ms     92              5
8 9 12 11 1 2 3 4 5 6 7 10 0 13  Verdadero       1.9e-05 ms      8               3
6 10 1 4 5 9 2 3 8 7 12 11 0 13  Verdadero       2.8e-05 ms      12              5
4 3 2 7 6 5 12 8 9 10 11 1 0 13  Verdadero       1.9e-05 ms      8               3
8 7 3 4 9 10 11 12 2 6 5 1 0 13  Verdadero       2.5e-05 ms      12              5
4 6 7 8 3 11 10 9 2 12 5 1 0 13  Verdadero       0.000114 ms     74              5
3 4 8 7 6 5 9 10 11 0 1 2 12 13  Verdadero       2.5e-05 ms      8               3
3 2 4 5 6 7 8 12 11 10 9 1 0 13  Verdadero       3.5e-05 ms      22              4
9 3 4 0 10 6 5 8 7 2 1 11 12 13  Verdadero       5.3e-05 ms      14              6
2 3 1 0 12 8 4 5 6 9 10 11 7 13  Verdadero       0.000159 ms     170             6
0 10 9 12 11 3 4 5 1 2 6 7 8 13  Verdadero       4e-05 ms        46              4
7 11 2 5 6 10 3 4 9 8 0 1 12 13  Verdadero       3.8e-05 ms      14              6
7 6 5 12 8 9 10 11 1 0 2 3 4 13  Verdadero       1.8e-05 ms      10              4
5 4 7 6 1 10 9 8 0 3 2 11 12 13  Verdadero       0.000113 ms     106             6
5 4 8 9 2 12 11 10 1 0 6 7 3 13  Verdadero       2.2e-05 ms      16              4
9 10 7 6 5 3 2 1 4 8 12 11 0 13  Verdadero       0.000142 ms     156             6
0 7 8 4 3 6 5 1 2 9 10 11 12 13  Verdadero       0.0001 ms       120             6
3 6 5 4 2 7 8 12 11 10 9 1 0 13  Verdadero       2.7e-05 ms      32              5
12 1 0 10 6 5 8 11 4 3 7 2 9 13  Verdadero       2.9e-05 ms      16              7
6 7 12 0 10 2 11 3 4 5 9 8 1 13  Verdadero       2.6e-05 ms      16              7
9 10 0 7 3 2 1 6 5 12 11 8 4 13  Verdadero       2.9e-05 ms      30              5
4 5 1 6 2 3 0 7 8 9 10 11 12 13  Verdadero       1.1e-05 ms      8               3
8 7 10 9 4 2 12 11 3 6 5 1 0 13  Verdadero       4.1e-05 ms      40              7
5 4 8 9 2 12 11 10 1 3 7 6 0 13  Verdadero       3.9e-05 ms      58              5
12 11 7 6 5 3 2 8 9 10 1 4 0 13  Verdadero       0.000473 ms     756             7
12 0 10 11 9 3 6 5 1 2 7 8 4 13  Verdadero       0.000104 ms     142             7
12 2 1 6 5 4 3 7 11 10 9 8 0 13  Verdadero       1.5e-05 ms      12              5
