Por favor, ingrese un archivo de prueba seguido de ENTER: Tests/top-spin-14-4-hard.txt
Instancia                        Resuelto        Tiempo      Nodos Expandidos   Distancia
---------------------------------------------------------------------------------------
12 10 1 7 5 3 11 2 0 9 8 6 4 13  Verdadero       10.9589 ms      21743828        13
0 12 1 5 2 6 7 10 9 11 4 3 8 13  Verdadero       0.035955 ms     58030           11
3 12 5 10 11 2 9 8 4 1 0 7 6 13  Verdadero       3.2e-05 ms      20              8
9 6 0 11 3 5 10 7 12 8 2 1 4 13  Verdadero       0.495698 ms     1042530         12
0 7 5 6 12 9 8 2 4 11 1 3 10 13  Verdadero       0.101593 ms     183346          11
12 11 1 5 6 0 10 8 3 7 4 9 2 13  Verdadero       0.226408 ms     442736          11
4 0 11 9 3 2 12 8 10 1 6 5 7 13  Verdadero       0.56823 ms      852544          12
12 3 4 11 10 2 8 0 7 6 1 5 9 13  Verdadero       0.067427 ms     125378          11
10 5 12 11 8 2 6 7 0 3 9 1 4 13  Verdadero       0.540314 ms     809392          12
7 3 9 6 1 4 11 5 2 8 0 10 12 13  Verdadero       7.5e-05 ms      60              9
1 10 12 0 2 9 7 11 8 5 3 4 6 13  Verdadero       2.12339 ms      4807614         12
0 12 1 4 10 6 2 5 9 11 7 3 8 13  Verdadero       0.460755 ms     909694          12
10 11 8 6 1 2 9 0 4 3 7 12 5 13  Verdadero       0.030087 ms     51464           11
1 12 7 5 2 9 3 0 8 10 11 6 4 13  Verdadero       7.99003 ms      13191794        13
2 0 6 5 11 10 9 8 1 7 3 4 12 13  Verdadero       0.786216 ms     2174138         11
6 1 8 10 5 9 2 11 7 4 12 3 0 13  Verdadero       0.634813 ms     1519204         12
11 6 7 0 12 3 2 4 9 10 5 1 8 13  Verdadero       0.94097 ms      1943066         12
7 8 9 0 4 6 2 3 5 10 11 1 12 13  Verdadero       0.021095 ms     37658           10
7 0 11 10 12 3 9 5 1 4 6 8 2 13  Verdadero       0.360938 ms     550946          12
6 5 10 12 2 3 11 0 7 9 1 4 8 13  Verdadero       0.010113 ms     14184           10
1 10 12 0 2 9 5 8 11 7 3 4 6 13  Verdadero       0.411031 ms     808516          11
0 12 1 4 8 2 9 10 11 6 5 3 7 13  Verdadero       0.147205 ms     258274          11
4 11 9 5 1 2 3 7 0 8 10 12 6 13  Verdadero       4.33199 ms      6871854         13
1 3 8 5 2 0 7 10 11 9 12 6 4 13  Verdadero       1.02257 ms      2218358         12
7 6 12 1 3 4 10 5 0 2 8 9 11 13  Verdadero       0.539544 ms     913494          11
3 6 11 0 8 7 1 5 4 10 9 12 2 13  Verdadero       0.392643 ms     649272          11
8 0 5 12 10 9 1 7 6 4 11 3 2 13  Verdadero       0.196338 ms     366050          11
7 3 10 4 1 8 2 9 11 0 6 12 5 13  Verdadero       0.053783 ms     74526           12
7 4 2 5 8 12 6 11 1 9 10 3 0 13  Verdadero       0.67776 ms      1221310         12
0 5 9 1 8 12 3 4 10 11 7 2 6 13  Verdadero       0.078438 ms     149510          11
1 10 9 2 0 12 5 8 11 6 4 3 7 13  Verdadero       0.459587 ms     834466          11
7 5 8 3 11 10 6 2 4 9 1 12 0 13  Verdadero       0.125414 ms     297068          11
5 6 8 2 7 1 4 3 10 9 12 0 11 13  Verdadero       0.100941 ms     159580          11
0 11 8 10 3 1 7 5 6 12 2 4 9 13  Verdadero       0.026362 ms     36932           10
6 5 8 12 2 4 9 0 7 11 1 3 10 13  Verdadero       0.601349 ms     1063590         12
5 10 7 6 1 0 9 2 3 12 11 8 4 13  Verdadero       0.007255 ms     11894           10
12 11 5 9 6 4 7 1 10 2 0 8 3 13  Verdadero       1.53387 ms      3637020         12
10 9 7 4 12 8 1 6 11 5 3 2 0 13  Verdadero       2.66115 ms      7407230         12
0 1 3 10 9 7 5 4 11 12 8 2 6 13  Verdadero       1.34834 ms      2505216         11
6 0 9 11 3 8 5 2 7 12 10 4 1 13  Verdadero       0.155112 ms     217480          12
1 10 9 2 0 12 5 8 3 4 6 11 7 13  Verdadero       0.611952 ms     1078966         12
7 5 9 6 11 3 8 2 4 10 1 12 0 13  Verdadero       0.249135 ms     480220          12
2 3 6 12 4 8 1 7 9 10 5 0 11 13  Verdadero       0.393846 ms     530734          12
0 11 1 4 3 9 2 12 5 8 7 6 10 13  Verdadero       0.001268 ms     1550            9
5 9 6 7 0 4 1 10 11 8 3 2 12 13  Verdadero       0.078114 ms     123520          11
0 4 2 1 11 3 7 12 6 8 5 9 10 13  Verdadero       0.480748 ms     691946          12
6 11 7 8 10 5 2 4 3 12 1 9 0 13  Verdadero       0.031564 ms     50060           11
9 11 1 5 0 12 2 8 3 4 7 6 10 13  Verdadero       0.003524 ms     5074            10
9 12 10 11 2 4 0 7 5 6 3 8 1 13  Verdadero       0.091774 ms     201818          11
3 6 0 2 4 8 11 7 10 12 9 5 1 13  Verdadero       0.431605 ms     614022          12
7 9 2 0 12 5 8 3 4 6 11 10 1 13  Verdadero       0.335674 ms     556526          11
5 8 4 6 10 2 9 3 1 7 11 0 12 13  Verdadero       0.870441 ms     1697992         12
9 2 7 4 12 8 6 10 5 1 0 3 11 13  Verdadero       0.220826 ms     399104          11
3 10 11 9 4 7 0 12 2 8 1 5 6 13  Verdadero       0.018761 ms     28936           10
8 0 12 4 3 11 10 7 6 2 9 1 5 13  Verdadero       0.030898 ms     52202           11
4 10 6 9 11 2 3 0 5 12 8 7 1 13  Verdadero       0.221171 ms     344734          11
3 6 11 12 5 4 10 0 2 8 7 1 9 13  Verdadero       0.069634 ms     159318          10
0 1 12 2 4 11 5 6 7 3 9 10 8 13  Verdadero       0.016482 ms     25276           10
12 10 11 4 2 7 6 9 5 1 8 0 3 13  Verdadero       0.772171 ms     1179242         12
6 9 3 11 4 1 10 12 2 8 0 7 5 13  Verdadero       2.79015 ms      5302376         13
0 12 5 8 6 11 10 2 1 4 3 9 7 13  Verdadero       0.527653 ms     932926          12
5 3 4 8 9 1 6 10 11 0 12 7 2 13  Verdadero       0.315573 ms     817096          11
4 10 12 5 7 2 8 3 11 6 9 1 0 13  Verdadero       0.019215 ms     28822           10
6 11 12 9 7 2 0 1 4 8 10 5 3 13  Verdadero       0.091789 ms     151192          11
10 5 12 2 0 6 11 1 3 4 8 9 7 13  Verdadero       0.006544 ms     12456           10
2 9 0 1 6 8 12 4 7 3 11 10 5 13  Verdadero       2.14396 ms      5021430         12
8 12 6 0 11 9 1 10 2 5 3 7 4 13  Verdadero       0.367909 ms     666784          12
7 12 10 4 9 2 6 3 0 1 5 11 8 13  Verdadero       3.35927 ms      4910234         13
0 2 4 9 1 3 6 8 12 10 11 5 7 13  Verdadero       0.119439 ms     220596          11
3 12 0 2 7 4 5 9 8 11 10 6 1 13  Verdadero       12.6653 ms      24197564        13
8 7 9 10 11 6 1 4 3 0 2 12 5 13  Verdadero       0.008147 ms     14008           10
7 6 10 4 12 1 5 9 11 3 8 2 0 13  Verdadero       0.383634 ms     616050          12
8 4 6 0 5 9 12 10 2 3 11 1 7 13  Verdadero       0.051636 ms     110484          11
0 4 12 1 3 9 8 5 2 11 7 10 6 13  Verdadero       0.143782 ms     293952          11
0 8 1 9 11 4 6 7 12 2 10 5 3 13  Verdadero       0.485879 ms     747006          12
11 2 8 4 1 0 12 7 3 6 5 10 9 13  Verdadero       0.987783 ms     1667592         12
8 9 4 6 3 7 0 12 5 11 1 10 2 13  Verdadero       0.868633 ms     2114564         12
6 8 7 3 1 12 2 11 9 0 10 5 4 13  Verdadero       0.423968 ms     975482          12
9 0 11 5 2 4 8 12 10 1 6 3 7 13  Verdadero       1.71328 ms      2731708         12
12 4 2 10 5 9 7 3 1 11 8 6 0 13  Verdadero       1.91154 ms      4509490         12
5 3 0 8 7 9 10 11 6 2 12 4 1 13  Verdadero       0.108872 ms     208192          11
11 2 1 12 4 0 7 9 10 3 5 8 6 13  Verdadero       0.661808 ms     1039928         12
0 8 4 12 11 5 9 2 7 6 10 3 1 13  Verdadero       0.130577 ms     263094          11
9 0 12 5 2 4 3 8 11 1 10 7 6 13  Verdadero       0.224306 ms     335746          12
1 2 10 11 3 9 8 4 5 6 12 0 7 13  Verdadero       0.000713 ms     814             9
8 11 5 9 6 10 7 4 3 1 12 2 0 13  Verdadero       0.152165 ms     344228          11
3 10 9 1 12 5 11 6 4 2 8 0 7 13  Verdadero       3.8418 ms       5545674         13
9 6 2 11 3 12 10 0 4 5 7 1 8 13  Verdadero       0.446441 ms     851392          12
5 0 4 12 1 11 2 9 7 6 10 8 3 13  Verdadero       0.53945 ms      1035216         12
1 0 11 3 8 10 4 7 5 9 12 6 2 13  Verdadero       0.485519 ms     739624          12
8 0 3 5 7 6 11 10 9 2 12 4 1 13  Verdadero       0.022806 ms     40576           10
12 2 1 11 6 9 0 3 4 10 8 5 7 13  Verdadero       0.15341 ms      259796          11
2 0 9 7 11 12 1 5 4 8 6 10 3 13  Verdadero       0.134794 ms     248574          10
11 2 0 7 1 9 3 5 4 6 12 8 10 13  Verdadero       1.47124 ms      2632480         12
7 12 11 1 6 9 10 8 3 4 5 2 0 13  Verdadero       0.166636 ms     305200          11
6 2 3 8 11 12 9 1 5 4 10 7 0 13  Verdadero       0.026479 ms     42576           10
10 12 6 7 11 3 9 8 0 1 5 4 2 13  Verdadero       0.085709 ms     160988          11
12 8 3 0 1 6 9 11 4 7 10 5 2 13  Verdadero       1.27424 ms      2841836         11
5 12 6 0 10 2 4 11 9 7 3 1 8 13  Verdadero       0.153796 ms     235456          11
11 2 9 8 1 4 0 12 3 7 5 6 10 13  Verdadero       0.559841 ms     1149958         12
