Por favor, ingrese un archivo de prueba seguido de ENTER: Tests/top-spin-14-4-medium.txt
Instancia                        Resuelto   Tiempo         Nodos Expandidos   Distancia
-----------------------------------------------------------------------------
3 12 9 10 0 7 1 11 8 6 5 2 4 13  Verdadero       0.408171 ms     661466          12
8 5 2 3 7 9 6 12 0 4 11 1 10 13  Verdadero       0.114637 ms     162744          12
8 0 4 3 12 6 2 10 5 7 11 9 1 13  Verdadero       0.197102 ms     280356          12
9 5 7 2 4 12 8 11 10 3 0 6 1 13  Verdadero       6.52102 ms      15068374        12
9 10 6 4 0 1 8 7 11 12 5 2 3 13  Verdadero       0.000271 ms     356             7
6 3 2 4 10 0 9 1 11 12 8 5 7 13  Verdadero       7.79629 ms      13961226        13
12 4 8 1 5 11 0 9 7 10 6 3 2 13  Verdadero       0.057662 ms     97712           11
6 1 0 3 11 7 2 4 12 5 8 9 10 13  Verdadero       0.208116 ms     481216          11
6 3 10 8 7 5 1 4 0 11 12 9 2 13  Verdadero       0.653053 ms     916252          12
8 3 6 11 9 7 0 4 10 12 2 5 1 13  Verdadero       1.87862 ms      3526638         12
3 12 9 10 0 7 1 5 6 8 11 2 4 13  Verdadero       0.831199 ms     1884504         12
9 5 2 3 10 8 11 1 12 6 4 0 7 13  Verdadero       0.018768 ms     26846           11
11 0 6 2 9 12 5 8 7 10 1 4 3 13  Verdadero       0.001612 ms     1796            10
12 0 4 2 11 5 10 8 1 3 6 9 7 13  Verdadero       1.02369 ms      2045874         12
0 12 5 10 1 3 11 7 2 6 8 9 4 13  Verdadero       0.038818 ms     68192           11
1 3 0 9 7 2 10 4 5 12 11 8 6 13  Verdadero       0.898303 ms     2122614         11
4 8 5 9 7 3 0 6 10 12 11 2 1 13  Verdadero       2.90837 ms      6446450         12
11 12 5 8 4 1 2 0 10 7 9 6 3 13  Verdadero       0.277978 ms     617218          11
0 1 8 11 3 7 2 4 9 5 6 12 10 13  Verdadero       0.025792 ms     45122           11
7 4 5 10 6 2 12 3 1 0 8 11 9 13  Verdadero       0.001939 ms     2364            10
4 2 12 9 10 0 7 1 5 6 8 11 3 13  Verdadero       1.61216 ms      3461336         12
8 12 5 10 6 9 11 4 3 1 2 0 7 13  Verdadero       0.09061 ms      119732          11
1 3 9 8 0 2 10 12 5 11 4 6 7 13  Verdadero       1.00055 ms      1881234         12
9 5 0 7 11 2 6 10 4 1 3 8 12 13  Verdadero       0.522392 ms     982974          12
7 9 10 4 1 12 0 8 6 11 3 2 5 13  Verdadero       0.455449 ms     752792          12
0 5 9 7 3 12 11 1 2 6 8 10 4 13  Verdadero       0.120046 ms     278650          11
9 7 3 4 11 1 6 0 12 5 10 8 2 13  Verdadero       0.013947 ms     20174           10
1 8 9 4 7 2 5 12 10 3 0 6 11 13  Verdadero       0.558783 ms     929840          12
1 10 3 11 8 5 2 4 12 9 0 7 6 13  Verdadero       0.407661 ms     929642          12
8 3 5 4 6 11 1 9 2 7 0 10 12 13  Verdadero       1.51274 ms      3959466         12
4 2 0 10 1 7 12 9 5 6 8 11 3 13  Verdadero       4.15264 ms      7817634         12
6 0 4 12 8 5 9 11 3 7 1 2 10 13  Verdadero       0.187952 ms     296140          11
2 7 1 6 4 11 12 3 9 10 0 5 8 13  Verdadero       1.78856 ms      3442368         12
9 12 3 8 10 5 7 0 6 4 1 11 2 13  Verdadero       0.497013 ms     737076          12
12 9 5 10 3 4 6 0 1 2 7 8 11 13  Verdadero       0.021261 ms     31796           10
1 5 10 2 12 7 3 11 8 6 9 4 0 13  Verdadero       0.186854 ms     263388          12
5 3 7 11 10 1 6 0 2 8 9 4 12 13  Verdadero       1.38525 ms      2427116         12
4 5 0 9 7 1 8 11 6 3 10 12 2 13  Verdadero       1.17969 ms      2491840         12
3 12 0 8 9 11 6 1 4 10 2 7 5 13  Verdadero       0.70332 ms      1289904         12
0 5 11 8 10 4 7 1 2 3 12 6 9 13  Verdadero       0.430801 ms     820654          12
3 11 2 0 10 1 7 12 9 5 6 8 4 13  Verdadero       2.18535 ms      4711294         12
11 3 12 5 10 6 9 0 1 4 8 2 7 13  Verdadero       0.347513 ms     634658          12
3 8 2 6 4 7 0 1 10 11 12 5 9 13  Verdadero       1.10638 ms      2644012         11
2 12 9 1 11 4 8 6 3 7 10 0 5 13  Verdadero       1.64214 ms      2702784         12
0 8 12 11 3 9 10 6 5 1 2 7 4 13  Verdadero       0.096606 ms     225282          10
5 3 10 12 1 6 4 11 7 0 9 2 8 13  Verdadero       0.16472 ms      236670          12
8 7 6 10 1 4 9 3 11 2 0 12 5 13  Verdadero       0.016628 ms     34300           11
4 10 12 9 6 1 0 8 7 2 3 5 11 13  Verdadero       0.189282 ms     362616          11
1 5 10 3 8 2 4 9 11 12 7 6 0 13  Verdadero       0.549581 ms     876944          12
2 6 10 9 8 4 11 3 1 5 12 0 7 13  Verdadero       1.97109 ms      4364598         12
0 2 11 3 10 1 7 12 9 5 6 8 4 13  Verdadero       0.427018 ms     756596          12
11 0 12 5 10 6 9 3 8 1 7 2 4 13  Verdadero       8.97914 ms      18164604        13
3 4 6 2 8 9 7 11 1 0 10 5 12 13  Verdadero       0.06566 ms      114688          10
3 12 1 11 7 5 4 9 2 6 0 10 8 13  Verdadero       1.45331 ms      2254048         12
9 11 12 4 1 2 6 10 5 3 7 8 0 13  Verdadero       0.205727 ms     515812          11
5 8 9 11 3 1 7 0 10 6 12 4 2 13  Verdadero       0.034596 ms     60192           11
9 7 5 1 4 8 11 2 10 3 6 12 0 13  Verdadero       0.283525 ms     517548          12
3 8 2 6 9 1 12 7 4 11 10 5 0 13  Verdadero       0.468549 ms     855610          12
2 6 1 12 10 7 0 3 11 9 5 8 4 13  Verdadero       0.012663 ms     19262           11
11 5 0 6 2 12 1 7 10 4 9 3 8 13  Verdadero       1.24715 ms      1738836         12
4 3 11 1 10 8 2 7 6 5 9 12 0 13  Verdadero       1.37538 ms      2184468         12
8 3 0 4 7 9 1 2 11 5 12 10 6 13  Verdadero       0.255905 ms     492754          12
9 3 12 7 8 4 6 2 5 11 10 0 1 13  Verdadero       0.422226 ms     1161620         11
2 3 7 9 10 4 12 5 0 8 6 11 1 13  Verdadero       0.604989 ms     963416          12
5 9 11 0 12 7 8 6 4 2 10 3 1 13  Verdadero       4.44095 ms      9580996         13
2 3 0 7 4 1 12 10 5 9 6 11 8 13  Verdadero       0.609236 ms     927446          12
10 12 1 3 8 5 4 0 2 11 7 9 6 13  Verdadero       4.07445 ms      5880120         13
8 5 2 4 7 11 9 12 0 6 3 10 1 13  Verdadero       0.71792 ms      1218072         12
9 1 2 0 3 5 6 12 7 11 10 8 4 13  Verdadero       1.14119 ms      2363342         12
11 6 1 0 8 12 3 9 7 10 4 5 2 13  Verdadero       0.221595 ms     423408          11
0 11 3 1 10 8 2 7 6 5 9 12 4 13  Verdadero       0.004101 ms     6706            10
7 8 2 4 3 6 9 5 10 12 1 11 0 13  Verdadero       0.406109 ms     832758          12
10 7 1 4 9 11 3 2 8 12 0 5 6 13  Verdadero       0.084251 ms     149140          10
6 4 12 2 7 11 9 5 3 10 1 8 0 13  Verdadero       0.309962 ms     459088          12
2 7 8 5 12 9 0 4 10 6 3 11 1 13  Verdadero       0.381422 ms     553656          12
11 8 4 6 2 0 12 5 7 3 9 10 1 13  Verdadero       1.32565 ms      3047444         12
0 1 4 9 5 3 12 6 8 11 7 2 10 13  Verdadero       0.360489 ms     703066          12
8 0 6 4 10 2 12 7 9 5 1 11 3 13  Verdadero       0.606387 ms     1160742         12
2 5 6 3 8 9 4 1 10 11 12 0 7 13  Verdadero       2.79707 ms      6990496         12
7 2 10 8 1 6 11 3 4 9 12 0 5 13  Verdadero       3.24295 ms      4809288         13
4 12 9 1 3 11 0 10 6 7 2 8 5 13  Verdadero       0.942199 ms     2220136         12
12 11 2 6 1 5 9 8 4 0 10 3 7 13  Verdadero       0.011292 ms     19610           10
9 11 10 5 0 6 7 8 12 4 3 2 1 13  Verdadero       0.004458 ms     7016            10
5 12 11 3 10 4 9 6 8 2 7 1 0 13  Verdadero       0.40994 ms      730550          12
7 9 0 5 10 11 6 3 1 2 12 8 4 13  Verdadero       3.24842 ms      6372844         12
6 2 10 7 1 11 0 5 4 9 8 12 3 13  Verdadero       0.44672 ms      809790          12
11 2 7 8 1 4 12 0 6 10 3 9 5 13  Verdadero       0.177691 ms     383804          12
7 4 1 11 0 10 3 2 9 8 5 6 12 13  Verdadero       0.022326 ms     44490           10
8 1 5 9 3 0 11 12 7 10 2 6 4 13  Verdadero       6.10138 ms      10825358        13
11 2 5 12 9 8 1 7 6 4 3 10 0 13  Verdadero       0.123328 ms     321662          11
1 9 12 4 3 11 0 2 7 6 10 8 5 13  Verdadero       0.326776 ms     705942          11
12 11 2 5 3 4 9 8 7 6 1 10 0 13  Verdadero       0.023005 ms     48058           10
4 9 5 12 8 3 0 7 2 1 10 6 11 13  Verdadero       0.314164 ms     527016          12
0 6 2 3 5 1 8 10 11 12 4 9 7 13  Verdadero       0.104603 ms     200796          11
5 12 1 10 9 3 2 11 7 6 4 0 8 13  Verdadero       0.103013 ms     219318          11
4 12 1 2 3 5 9 8 6 7 0 11 10 13  Verdadero       0.000331 ms     454             9
10 3 6 12 7 11 1 9 0 5 8 4 2 13  Verdadero       2.30235 ms      3979814         12
8 5 10 6 1 12 4 11 7 2 9 0 3 13  Verdadero       0.18351 ms      281640          12
3 12 9 4 6 10 0 5 8 7 11 2 1 13  Verdadero       0.028229 ms     51566           11
