Please enter a test file followed by ENTER: Tests/top-spin-14-4-easy.txt
Instance                         Solved   Time     Nodes Expanded   Distance
-----------------------------------------------------------------------------
0 4 5 6 7 8 12 11 10 9 1 2 3 13  True   2.2e-05         11              3
0 10 2 3 12 9 5 4 11 1 6 7 8 13  True   1.2e-05         5               5
12 2 10 0 3 4 5 6 7 11 1 8 9 13  True   1.2e-05         5               5
4 0 3 2 5 1 6 7 8 12 11 10 9 13  True   8.6e-05         49              5
8 9 12 11 1 2 3 4 5 6 7 10 0 13  True   5e-06           3               3
6 10 1 4 5 9 2 3 8 7 12 11 0 13  True   8e-06           5               5
4 3 2 7 6 5 12 8 9 10 11 1 0 13  True   4e-06           3               3
8 7 3 4 9 10 11 12 2 6 5 1 0 13  True   7e-06           5               5
4 6 7 8 3 11 10 9 2 12 5 1 0 13  True   1.9e-05         12              5
3 4 8 7 6 5 9 10 11 0 1 2 12 13  True   5e-06           3               3
3 2 4 5 6 7 8 12 11 10 9 1 0 13  True   1.8e-05         16              4
9 3 4 0 10 6 5 8 7 2 1 11 12 13  True   1.2e-05         6               6
2 3 1 0 12 8 4 5 6 9 10 11 7 13  True   7.4e-05         47              6
0 10 9 12 11 3 4 5 1 2 6 7 8 13  True   1.2e-05         10              4
7 11 2 5 6 10 3 4 9 8 0 1 12 13  True   9e-06           6               6
7 6 5 12 8 9 10 11 1 0 2 3 4 13  True   4e-06           4               4
5 4 7 6 1 10 9 8 0 3 2 11 12 13  True   6.9e-05         56              6
5 4 8 9 2 12 11 10 1 0 6 7 3 13  True   1.5e-05         12              4
9 10 7 6 5 3 2 1 4 8 12 11 0 13  True   7.9e-05         68              6
0 7 8 4 3 6 5 1 2 9 10 11 12 13  True   9.9e-05         49              6
3 6 5 4 2 7 8 12 11 10 9 1 0 13  True   1.9e-05         19              5
12 1 0 10 6 5 8 11 4 3 7 2 9 13  True   2e-05           15              7
6 7 12 0 10 2 11 3 4 5 9 8 1 13  True   8e-06           7               7
9 10 0 7 3 2 1 6 5 12 11 8 4 13  True   2e-05           17              5
4 5 1 6 2 3 0 7 8 9 10 11 12 13  True   2e-06           3               3
8 7 10 9 4 2 12 11 3 6 5 1 0 13  True   5.2e-05         35              7
5 4 8 9 2 12 11 10 1 3 7 6 0 13  True   7.3e-05         50              5
12 11 7 6 5 3 2 8 9 10 1 4 0 13  True   0.0002          148             7
12 0 10 11 9 3 6 5 1 2 7 8 4 13  True   1.3e-05         12              7
12 2 1 6 5 4 3 7 11 10 9 8 0 13  True   6e-06           5               5
0 1 5 6 3 9 4 2 7 8 12 11 10 13  True   4.4e-05         49              7
3 4 2 12 0 10 5 9 8 6 7 1 11 13  True   0.000203        142             9
8 9 12 11 3 4 6 2 1 0 10 7 5 13  True   0.000186        205             7
3 2 6 0 7 8 9 10 11 12 1 4 5 13  True   1e-05           10              5
6 8 9 10 1 11 2 3 0 12 7 4 5 13  True   0.001507        1337            9
12 2 6 5 9 7 8 4 10 11 0 1 3 13  True   6e-06           7               7
12 0 7 8 11 3 6 5 1 2 9 10 4 13  True   0.000703        551             9
0 8 9 6 1 2 12 5 4 3 7 11 10 13  True   1.2e-05         10              7
5 6 9 0 4 8 12 1 7 11 10 2 3 13  True   0.000452        314             9
0 1 7 6 5 2 11 4 3 9 10 8 12 13  True   8e-05           59              7
0 1 5 6 3 9 8 7 2 4 12 11 10 13  True   0.000149        139             8
3 12 0 10 4 2 5 6 7 9 8 1 11 13  True   0.002134        1623            10
3 7 9 1 2 6 12 11 5 4 0 10 8 13  True   0.000131        77              8
9 8 7 6 10 11 1 0 2 12 5 3 4 13  True   5e-06           6               6
8 3 2 9 10 11 12 5 1 4 6 7 0 13  True   7e-06           7               6
12 1 7 6 5 2 3 11 4 8 9 10 0 13  True   0.000588        535             8
3 1 0 5 4 11 2 6 10 9 8 7 12 13  True   0.000628        529             8
1 0 6 12 2 5 9 7 8 4 11 10 3 13  True   0.001986        1457            10
0 1 10 6 5 2 11 4 3 8 7 9 12 13  True   0.000111        75              8
12 11 6 5 1 2 3 4 7 8 9 0 10 13  True   7e-06           6               6
10 5 6 3 9 8 7 2 4 12 11 1 0 13  True   0.000823        633             9
10 11 0 12 4 1 3 9 5 6 8 7 2 13  True   0.021578        17505           11
3 2 10 9 4 0 1 5 8 11 12 6 7 13  True   2.4e-05         16              7
10 5 2 12 8 1 4 3 6 0 9 7 11 13  True   0.000239        131             9
12 3 6 5 9 7 8 1 4 0 11 10 2 13  True   0.000315        197             9
6 3 8 11 5 9 10 2 1 4 7 0 12 13  True   0.012542        9566            11
0 7 8 12 3 9 10 11 2 1 5 4 6 13  True   0.001708        1516            9
6 5 2 12 8 10 11 1 4 3 7 9 0 13  True   1e-05           8               7
12 11 7 8 1 2 3 4 0 5 9 10 6 13  True   0.001902        1761            9
7 12 2 1 8 9 0 10 11 4 3 5 6 13  True   0.00012         80              9
