Please enter a test file followed by ENTER: Tests/top-spin-14-4-hard.txt
Instance                         Solved   Time     Nodes Expanded   Distance
-----------------------------------------------------------------------------
12 10 1 7 5 3 11 2 0 9 8 6 4 13  True   0.796982        582754          13
0 12 1 5 2 6 7 10 9 11 4 3 8 13  True   0.010039        7494            11
3 12 5 10 11 2 9 8 4 1 0 7 6 13  True   7.5e-05         50              8
9 6 0 11 3 5 10 7 12 8 2 1 4 13  True   0.074812        49074           12
0 7 5 6 12 9 8 2 4 11 1 3 10 13  True   0.032729        23249           11
12 11 1 5 6 0 10 8 3 7 4 9 2 13  True   0.097082        81741           11
4 0 11 9 3 2 12 8 10 1 6 5 7 13  True   0.07679         50635           12
12 3 4 11 10 2 8 0 7 6 1 5 9 13  True   0.008219        6689            11
10 5 12 11 8 2 6 7 0 3 9 1 4 13  True   0.143394        107167          12
7 3 9 6 1 4 11 5 2 8 0 10 12 13  True   0.00015         91              9
1 10 12 0 2 9 7 11 8 5 3 4 6 13  True   0.210203        138312          12
0 12 1 4 10 6 2 5 9 11 7 3 8 13  True   0.051225        34914           12
10 11 8 6 1 2 9 0 4 3 7 12 5 13  True   0.007023        5196            11
1 12 7 5 2 9 3 0 8 10 11 6 4 13  True   0.554407        396849          13
2 0 6 5 11 10 9 8 1 7 3 4 12 13  True   0.03005         26367           11
6 1 8 10 5 9 2 11 7 4 12 3 0 13  True   0.043955        31166           12
11 6 7 0 12 3 2 4 9 10 5 1 8 13  True   0.307759        236651          12
7 8 9 0 4 6 2 3 5 10 11 1 12 13  True   0.003127        1866            10
7 0 11 10 12 3 9 5 1 4 6 8 2 13  True   0.066311        39565           12
6 5 10 12 2 3 11 0 7 9 1 4 8 13  True   0.00208         1430            10
1 10 12 0 2 9 5 8 11 7 3 4 6 13  True   0.023872        18221           11
0 12 1 4 8 2 9 10 11 6 5 3 7 13  True   0.015363        11304           11
4 11 9 5 1 2 3 7 0 8 10 12 6 13  True   0.387457        269461          13
1 3 8 5 2 0 7 10 11 9 12 6 4 13  True   0.188601        135940          12
7 6 12 1 3 4 10 5 0 2 8 9 11 13  True   0.060027        41875           11
3 6 11 0 8 7 1 5 4 10 9 12 2 13  True   0.044225        30369           11
8 0 5 12 10 9 1 7 6 4 11 3 2 13  True   0.047332        33593           11
7 3 10 4 1 8 2 9 11 0 6 12 5 13  True   0.10222         55560           12
7 4 2 5 8 12 6 11 1 9 10 3 0 13  True   0.314741        223739          12
0 5 9 1 8 12 3 4 10 11 7 2 6 13  True   0.007596        5480            11
1 10 9 2 0 12 5 8 11 6 4 3 7 13  True   0.009154        6595            11
7 5 8 3 11 10 6 2 4 9 1 12 0 13  True   0.00986         7831            11
5 6 8 2 7 1 4 3 10 9 12 0 11 13  True   0.004689        2951            11
0 11 8 10 3 1 7 5 6 12 2 4 9 13  True   0.002182        1521            10
6 5 8 12 2 4 9 0 7 11 1 3 10 13  True   0.085216        56239           12
5 10 7 6 1 0 9 2 3 12 11 8 4 13  True   0.001347        679             10
12 11 5 9 6 4 7 1 10 2 0 8 3 13  True   0.309494        241729          12
10 9 7 4 12 8 1 6 11 5 3 2 0 13  True   0.08144         64688           12
0 1 3 10 9 7 5 4 11 12 8 2 6 13  True   0.042448        33764           11
6 0 9 11 3 8 5 2 7 12 10 4 1 13  True   0.06418         42986           12
1 10 9 2 0 12 5 8 3 4 6 11 7 13  True   0.07334         53692           12
7 5 9 6 11 3 8 2 4 10 1 12 0 13  True   0.098543        69222           12
2 3 6 12 4 8 1 7 9 10 5 0 11 13  True   0.114662        84292           12
0 11 1 4 3 9 2 12 5 8 7 6 10 13  True   0.000372        208             9
5 9 6 7 0 4 1 10 11 8 3 2 12 13  True   0.014918        11299           11
0 4 2 1 11 3 7 12 6 8 5 9 10 13  True   0.094428        68539           12
6 11 7 8 10 5 2 4 3 12 1 9 0 13  True   0.011581        7608            11
9 11 1 5 0 12 2 8 3 4 7 6 10 13  True   0.002412        1528            10
9 12 10 11 2 4 0 7 5 6 3 8 1 13  True   0.03244         26157           11
