Please enter a test file followed by ENTER: Tests/top-spin-14-4-medium.txt
Instance                         Solved   Time     Nodes Expanded   Distance
-----------------------------------------------------------------------------
3 12 9 10 0 7 1 11 8 6 5 2 4 13  True   0.051816        37480           12
8 5 2 3 7 9 6 12 0 4 11 1 10 13  True   0.022004        14629           12
8 0 4 3 12 6 2 10 5 7 11 9 1 13  True   0.028281        18407           12
9 5 7 2 4 12 8 11 10 3 0 6 1 13  True   0.198634        146904          12
9 10 6 4 0 1 8 7 11 12 5 2 3 13  True   8.7e-05         51              7
6 3 2 4 10 0 9 1 11 12 8 5 7 13  True   0.533523        396230          13
12 4 8 1 5 11 0 9 7 10 6 3 2 13  True   0.007632        5078            11
6 1 0 3 11 7 2 4 12 5 8 9 10 13  True   0.050627        40579           11
6 3 10 8 7 5 1 4 0 11 12 9 2 13  True   0.180482        129622          12
8 3 6 11 9 7 0 4 10 12 2 5 1 13  True   0.239031        156375          12
3 12 9 10 0 7 1 5 6 8 11 2 4 13  True   0.117105        88351           12
9 5 2 3 10 8 11 1 12 6 4 0 7 13  True   0.011305        8103            11
11 0 6 2 9 12 5 8 7 10 1 4 3 13  True   0.000644        319             10
12 0 4 2 11 5 10 8 1 3 6 9 7 13  True   0.243915        176535          12
0 12 5 10 1 3 11 7 2 6 8 9 4 13  True   0.030187        22302           11
1 3 0 9 7 2 10 4 5 12 11 8 6 13  True   0.048641        38191           11
4 8 5 9 7 3 0 6 10 12 11 2 1 13  True   0.199155        130462          12
11 12 5 8 4 1 2 0 10 7 9 6 3 13  True   0.04846         37257           11
0 1 8 11 3 7 2 4 9 5 6 12 10 13  True   0.011823        8098            11
7 4 5 10 6 2 12 3 1 0 8 11 9 13  True   0.00295         1857            10
4 2 12 9 10 0 7 1 5 6 8 11 3 13  True   0.11733         76115           12
8 12 5 10 6 9 11 4 3 1 2 0 7 13  True   0.017999        9737            11
1 3 9 8 0 2 10 12 5 11 4 6 7 13  True   0.256068        204554          12
9 5 0 7 11 2 6 10 4 1 3 8 12 13  True   0.091848        61431           12
7 9 10 4 1 12 0 8 6 11 3 2 5 13  True   0.045119        33685           12
0 5 9 7 3 12 11 1 2 6 8 10 4 13  True   0.009599        7483            11
9 7 3 4 11 1 6 0 12 5 10 8 2 13  True   0.002928        2021            10
1 8 9 4 7 2 5 12 10 3 0 6 11 13  True   0.07042         46436           12
1 10 3 11 8 5 2 4 12 9 0 7 6 13  True   0.144335        100495          12
8 3 5 4 6 11 1 9 2 7 0 10 12 13  True   0.262796        192425          12
4 2 0 10 1 7 12 9 5 6 8 11 3 13  True   0.271233        178561          12
6 0 4 12 8 5 9 11 3 7 1 2 10 13  True   0.003569        2445            11
2 7 1 6 4 11 12 3 9 10 0 5 8 13  True   0.126253        103637          12
9 12 3 8 10 5 7 0 6 4 1 11 2 13  True   0.094393        64354           12
12 9 5 10 3 4 6 0 1 2 7 8 11 13  True   0.001261        711             10
1 5 10 2 12 7 3 11 8 6 9 4 0 13  True   0.029443        19125           12
5 3 7 11 10 1 6 0 2 8 9 4 12 13  True   0.175948        144034          12
4 5 0 9 7 1 8 11 6 3 10 12 2 13  True   0.204191        119891          12
3 12 0 8 9 11 6 1 4 10 2 7 5 13  True   0.066801        51112           12
0 5 11 8 10 4 7 1 2 3 12 6 9 13  True   0.077056        48291           12
3 11 2 0 10 1 7 12 9 5 6 8 4 13  True   0.115725        78024           12
11 3 12 5 10 6 9 0 1 4 8 2 7 13  True   0.046414        24297           12
3 8 2 6 4 7 0 1 10 11 12 5 9 13  True   0.036113        27836           11
2 12 9 1 11 4 8 6 3 7 10 0 5 13  True   0.150122        103460          12
0 8 12 11 3 9 10 6 5 1 2 7 4 13  True   0.017788        16139           10
5 3 10 12 1 6 4 11 7 0 9 2 8 13  True   0.042405        28649           12
8 7 6 10 1 4 9 3 11 2 0 12 5 13  True   0.01403         10533           11
4 10 12 9 6 1 0 8 7 2 3 5 11 13  True   0.037716        26754           11
1 5 10 3 8 2 4 9 11 12 7 6 0 13  True   0.085053        55725           12
2 6 10 9 8 4 11 3 1 5 12 0 7 13  True   0.193142        173678          12
0 2 11 3 10 1 7 12 9 5 6 8 4 13  True   0.080128        52602           12
11 0 12 5 10 6 9 3 8 1 7 2 4 13  True   0.164811        84770           13
3 4 6 2 8 9 7 11 1 0 10 5 12 13  True   0.003286        2248            10
3 12 1 11 7 5 4 9 2 6 0 10 8 13  True   0.065217        43690           12
9 11 12 4 1 2 6 10 5 3 7 8 0 13  True   0.051371        36023           11
5 8 9 11 3 1 7 0 10 6 12 4 2 13  True   0.012792        8000            11
9 7 5 1 4 8 11 2 10 3 6 12 0 13  True   0.051063        28954           12
3 8 2 6 9 1 12 7 4 11 10 5 0 13  True   0.172935        103051          12
2 6 1 12 10 7 0 3 11 9 5 8 4 13  True   0.004964        2701            11
11 5 0 6 2 12 1 7 10 4 9 3 8 13  True   0.114944        61680           12
4 3 11 1 10 8 2 7 6 5 9 12 0 13  True   0.062932        43852           12
8 3 0 4 7 9 1 2 11 5 12 10 6 13  True   0.108843        73014           12
9 3 12 7 8 4 6 2 5 11 10 0 1 13  True   0.040151        30807           11
2 3 7 9 10 4 12 5 0 8 6 11 1 13  True   0.085385        62058           12
5 9 11 0 12 7 8 6 4 2 10 3 1 13  True   0.31352         217546          13
2 3 0 7 4 1 12 10 5 9 6 11 8 13  True   0.061929        39653           12
10 12 1 3 8 5 4 0 2 11 7 9 6 13  True   0.282393        193176          13
8 5 2 4 7 11 9 12 0 6 3 10 1 13  True   0.19007         126047          12
9 1 2 0 3 5 6 12 7 11 10 8 4 13  True   0.150758        116182          12
11 6 1 0 8 12 3 9 7 10 4 5 2 13  True   0.017547        12209           11
0 11 3 1 10 8 2 7 6 5 9 12 4 13  True   0.002846        2040            10
7 8 2 4 3 6 9 5 10 12 1 11 0 13  True   0.04453         28742           12
10 7 1 4 9 11 3 2 8 12 0 5 6 13  True   0.00907         6949            10
6 4 12 2 7 11 9 5 3 10 1 8 0 13  True   0.058667        39797           12
2 7 8 5 12 9 0 4 10 6 3 11 1 13  True   0.039159        21389           12
11 8 4 6 2 0 12 5 7 3 9 10 1 13  True   0.181789        137467          12
0 1 4 9 5 3 12 6 8 11 7 2 10 13  True   0.032465        22076           12
8 0 6 4 10 2 12 7 9 5 1 11 3 13  True   0.122691        83001           12
2 5 6 3 8 9 4 1 10 11 12 0 7 13  True   0.676041        575447          12
7 2 10 8 1 6 11 3 4 9 12 0 5 13  True   0.286923        187841          13
4 12 9 1 3 11 0 10 6 7 2 8 5 13  True   0.057816        42439           12
12 11 2 6 1 5 9 8 4 0 10 3 7 13  True   0.014238        11741           10
9 11 10 5 0 6 7 8 12 4 3 2 1 13  True   0.005432        3979            10
5 12 11 3 10 4 9 6 8 2 7 1 0 13  True   0.05502         32719           12
7 9 0 5 10 11 6 3 1 2 12 8 4 13  True   0.261769        188015          12
6 2 10 7 1 11 0 5 4 9 8 12 3 13  True   0.061264        44986           12
11 2 7 8 1 4 12 0 6 10 3 9 5 13  True   0.021053        13688           12
7 4 1 11 0 10 3 2 9 8 5 6 12 13  True   0.001173        863             10
8 1 5 9 3 0 11 12 7 10 2 6 4 13  True   0.515525        379168          13
11 2 5 12 9 8 1 7 6 4 3 10 0 13  True   0.014072        7987            11
1 9 12 4 3 11 0 2 7 6 10 8 5 13  True   0.040854        30379           11
12 11 2 5 3 4 9 8 7 6 1 10 0 13  True   0.011799        10437           10
4 9 5 12 8 3 0 7 2 1 10 6 11 13  True   0.221427        134727          12
0 6 2 3 5 1 8 10 11 12 4 9 7 13  True   0.050386        27809           11
5 12 1 10 9 3 2 11 7 6 4 0 8 13  True   0.014745        10669           11
4 12 1 2 3 5 9 8 6 7 0 11 10 13  True   0.001023        790             9
10 3 6 12 7 11 1 9 0 5 8 4 2 13  True   0.129782        90496           12
8 5 10 6 1 12 4 11 7 2 9 0 3 13  True   0.153509        94413           12
3 12 9 4 6 10 0 5 8 7 11 2 1 13  True   0.006858        3179            11
5 1 7 2 10 11 6 9 3 8 12 4 0 13  True   0.008661        4144            11
