Por favor, ingrese un archivo de prueba seguido de ENTER: Tests/top-spin-17-4-easy.txt
Instancia                                        Resuelto        Tiempo      Nodos Expandidos   Distancia
-----------------------------------------------------------------------------
3 4 5 6 7 8 9 10 11 12 13 14 15 2 1 0 16         Verdadero       2.7e-05 ms      4               1
1 2 14 15 0 13 3 4 5 6 7 8 9 10 11 12 16         Verdadero       4.5e-05 ms      8               3
15 6 10 9 8 7 11 1 14 13 12 0 3 2 5 4 16         Verdadero       0.000136 ms     26              5
0 5 6 10 9 8 7 11 12 13 14 15 2 1 4 3 16         Verdadero       2.6e-05 ms      8               3
0 2 1 14 13 3 4 5 6 7 8 9 10 11 12 15 16         Verdadero       3.2e-05 ms      8               3
0 13 12 15 14 1 7 6 5 2 3 4 8 9 10 11 16         Verdadero       5.9e-05 ms      12              5
4 5 1 0 3 2 9 8 7 6 10 11 12 13 14 15 16         Verdadero       2.5e-05 ms      10              3
2 7 6 5 1 8 9 10 14 13 12 11 0 4 3 15 16         Verdadero       6.8e-05 ms      22              5
3 2 1 0 4 5 6 7 13 14 10 8 9 11 12 15 16         Verdadero       6.5e-05 ms      28              5
3 2 1 0 4 5 8 7 6 11 12 10 9 13 14 15 16         Verdadero       0.000227 ms     274             5
2 1 14 15 6 5 4 3 7 11 12 8 9 10 13 0 16         Verdadero       2.5e-05 ms      12              5
0 1 2 3 4 5 6 11 12 8 7 10 9 13 14 15 16         Verdadero       9e-06 ms        6               2
8 7 6 15 9 10 11 12 13 14 1 0 3 2 5 4 16         Verdadero       1.7e-05 ms      10              4
3 2 4 5 6 7 8 9 10 14 13 12 11 15 1 0 16         Verdadero       1.9e-05 ms      10              4
0 13 9 15 14 4 3 5 6 7 2 1 8 12 11 10 16         Verdadero       7e-05 ms        42              6
4 5 1 0 3 2 6 7 8 9 10 11 12 13 14 15 16         Verdadero       9e-06 ms        6               2
2 7 6 5 1 8 9 10 14 13 4 0 11 12 3 15 16         Verdadero       4e-05 ms        32              6
0 1 2 3 4 5 6 7 10 9 8 13 14 12 11 15 16         Verdadero       1.9e-05 ms      10              4
15 14 1 2 8 5 4 3 7 11 9 10 6 12 13 0 16         Verdadero       0.000892 ms     1718            6
15 14 2 5 4 0 1 6 13 9 11 12 7 8 10 3 16         Verdadero       7.3e-05 ms      82              6
4 5 6 7 8 1 10 13 14 12 11 9 0 3 2 15 16         Verdadero       2.8e-05 ms      16              6
15 2 3 4 5 6 11 12 8 7 10 9 13 14 1 0 16         Verdadero       1.1e-05 ms      8               3
7 8 9 10 11 12 13 14 15 2 1 4 3 6 5 0 16         Verdadero       1.1e-05 ms      8               3
15 3 2 1 6 5 4 14 7 8 9 10 11 12 13 0 16         Verdadero       1e-05 ms        8               3
1 7 6 2 5 8 9 10 14 13 12 11 4 3 0 15 16         Verdadero       4.3e-05 ms      36              7
0 1 2 3 4 5 6 7 13 9 8 10 14 11 12 15 16         Verdadero       1.9e-05 ms      12              5
15 14 1 2 8 5 4 3 7 11 12 6 10 9 13 0 16         Verdadero       0.001842 ms     4074            7
3 2 5 4 0 1 6 10 7 11 12 9 8 13 14 15 16         Verdadero       8.5e-05 ms      128             5
0 1 2 3 4 5 6 7 14 10 12 13 8 9 11 15 16         Verdadero       1e-05 ms        8               3
0 4 3 2 1 7 8 9 5 6 10 11 12 13 14 15 16         Verdadero       1.3e-05 ms      14              3
4 5 6 11 12 8 7 10 1 14 13 9 0 3 2 15 16         Verdadero       1.8e-05 ms      12              5
15 2 5 6 7 11 10 9 8 1 14 13 12 0 3 4 16         Verdadero       1.9e-05 ms      12              5
15 14 4 3 5 6 7 2 1 8 12 11 10 9 13 0 16         Verdadero       2.6e-05 ms      22              5
14 4 3 13 2 5 6 7 11 10 0 1 8 9 15 12 16         Verdadero       0.00026 ms      154             9
0 1 2 3 4 5 10 7 6 8 9 13 14 12 11 15 16         Verdadero       0.00769 ms      13400           7
0 13 1 5 6 15 14 4 12 11 9 8 3 7 10 2 16         Verdadero       5.2e-05 ms      26              9
15 2 3 4 5 6 7 8 1 10 13 14 12 11 9 0 16         Verdadero       1.8e-05 ms      14              5
0 4 3 2 1 7 8 9 5 6 10 13 14 15 11 12 16         Verdadero       0.00012 ms      182             5
12 11 0 4 2 1 15 3 8 7 6 13 10 9 5 14 16         Verdadero       0.0008 ms       1054            9
6 3 7 8 5 4 9 14 15 11 10 1 2 12 13 0 16         Verdadero       0.000175 ms     212             7
15 6 11 12 8 7 10 1 14 13 9 0 3 2 5 4 16         Verdadero       2.1e-05 ms      14              6
0 6 5 4 1 10 9 8 7 11 12 13 14 15 2 3 16         Verdadero       1e-05 ms        10              4
14 1 13 0 15 12 2 5 6 7 3 4 8 9 10 11 16         Verdadero       2.7e-05 ms      18              6
5 6 7 2 1 8 9 10 4 3 12 14 13 11 0 15 16         Verdadero       0.004697 ms     6012            10
1 2 14 15 8 5 4 0 7 10 9 6 11 12 13 3 16         Verdadero       0.295424 ms     700996          10
4 3 2 6 10 14 12 8 13 7 11 9 15 5 1 0 16         Verdadero       0.000451 ms     570             8
15 1 0 13 14 4 5 6 2 3 7 8 9 10 11 12 16         Verdadero       1.6e-05 ms      10              4
14 13 0 4 3 12 1 2 8 7 6 15 10 9 5 11 16         Verdadero       0.004603 ms     6772            10
5 3 4 8 6 7 9 14 15 11 10 1 2 12 13 0 16         Verdadero       0.000562 ms     684             8
2 4 0 14 15 8 7 6 5 12 11 10 9 1 13 3 16         Verdadero       0.000107 ms     108             8
15 6 11 12 8 7 10 9 13 14 1 0 3 2 5 4 16         Verdadero       1.8e-05 ms      12              5
