Please enter a test file followed by ENTER: Tests/top-spin-17-4-medium.txt
Instance                                         Solved   Time     Nodes Expanded   Distance
--------------------------------------------------------------------------------------------
0 7 3 4 1 2 13 8 9 14 11 10 5 12 6 15 16         True   2.78478         1607141         14
4 6 9 13 12 2 11 10 15 5 14 3 1 8 0 7 16         True   39.5016         21114173        16
6 7 9 5 4 14 12 13 15 1 2 0 11 10 8 3 16         True   7.36792         4506842         14
3 1 6 2 4 7 14 15 5 9 13 10 12 8 0 11 16         True   3.53749         1978574         14
14 5 15 9 7 6 0 8 3 13 4 11 2 12 10 1 16         True   1.14434         598334          14
15 0 7 10 4 6 12 8 11 5 9 14 2 1 13 3 16         True   0.240981        135676          13
4 10 1 11 8 13 7 14 3 2 5 9 15 6 0 12 16         True   8.15651         4458450         15
4 11 12 7 1 13 10 15 2 14 9 8 6 3 0 5 16         True   8.08313         4806220         15
3 11 7 4 9 0 1 14 6 10 5 8 15 12 2 13 16         True   19.3641         10331005        15
13 8 0 6 12 1 3 2 10 11 9 5 4 14 15 7 16         True   6.35911         3834378         15
0 12 2 1 6 8 3 4 7 5 11 9 14 15 10 13 16         True   0.854656        498299          13
7 9 13 12 2 11 10 15 5 14 3 1 8 0 6 4 16         True   15.0079         8903421         15
5 6 8 4 3 13 11 12 0 14 1 15 10 9 7 2 16         True   0.619261        379553          14
11 4 7 1 0 2 6 14 15 5 9 13 10 12 8 3 16         True   8.69837         4920333         15
4 1 12 3 11 2 0 10 8 7 14 5 9 15 13 6 16         True   12.8124         7103236         15
7 14 5 3 0 12 15 13 8 9 2 11 1 10 4 6 16         True   45.4247         24266588        16
8 13 4 11 2 10 14 1 9 7 6 0 15 3 5 12 16         True   0.522026        235569          14
5 6 3 4 0 8 11 7 9 14 13 1 10 2 12 15 16         True   4.53167         2339435         14
1 6 2 7 15 10 0 5 14 11 12 9 8 4 13 3 16         True   3.11369         1644002         14
12 3 15 4 9 8 10 14 11 6 5 1 0 2 7 13 16         True   18.234          9614005         15
3 15 10 1 2 5 14 6 12 11 8 9 7 0 4 13 16         True   6.87644         3709120         15
12 2 11 10 15 5 14 3 1 8 0 6 4 13 9 7 16         True   19.8872         10370916        15
1 5 3 8 10 0 2 9 15 11 14 12 7 6 4 13 16         True   33.6489         18412437        15
2 6 1 4 15 14 10 13 9 3 12 8 0 7 5 11 16         True   20.9357         10806313        15
1 14 6 0 7 4 8 12 3 15 13 5 2 11 10 9 16         True   15.8631         8342486         15
6 13 4 9 14 10 7 5 0 3 2 11 8 15 12 1 16         True   139.574         76733935        16
15 1 7 5 10 3 11 4 2 0 13 6 9 12 8 14 16         True   15.986          8701394         15
